dataset,model,model_role,evaluation_mode,utility,analysis_role,condition,n_seeds,n_users,n_items,users_with_repeated_target,n_max,epochs,profile_samples_per_user,base_permutations,evaluated_orders,action_rho,budget,gate_passed_seeds,gate_changed_fraction,gate_mean_abs_ndcg,model_mrr,model_ndcg@10,model_recall@10,model_target_rank,n,popularity_mrr,popularity_ndcg@10,popularity_recall@10,popularity_target_rank
Amazon-Digital-Music,itemknn,primary,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,5,250,8582,0,20,10,1,500,1000,0.5,2,5,0.774,0.028287550415416873,0.016221472306319967,0.015508284753722314,0.024,3311.964,250.0,0.006432263392700578,0.007536345752439182,0.02,3779.072
Amazon-Digital-Music,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,1000,8582,0,20,10,1,500,1000,0.5,2,5,0.7860000000000001,0.05584281998053471,0.16292724638335704,0.18081397298577276,0.285,70.384,1000.0,0.0866657880475208,0.08990504217629186,0.155,87.75
Amazon-Digital-Music,profile,robustness,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,5,250,8582,0,20,10,1,500,1000,0.5,2,5,1.0,0.024201527724514987,0.002222227895224243,0.0019026835036741,0.004,4051.0559999999996,250.0,0.006432263392700578,0.007536345752439182,0.02,3779.072
Amazon-Digital-Music,profile,robustness,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,1000,8582,0,20,10,1,500,1000,0.5,2,5,1.0,0.025009833613764527,0.043378603830165,0.03832903004076751,0.07320000000000002,94.87540000000001,1000.0,0.0866657880475208,0.08990504217629186,0.155,87.75
MovieLens-1M,itemknn,primary,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,5,250,3533,0,20,10,1,500,1000,0.5,2,5,0.7689999999999999,0.020405500459435615,0.0345405771940928,0.03897745033789754,0.088,412.872,250.0,0.013495160514996102,0.009373376511150007,0.02,662.432
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,5,250,3533,0,20,10,1,1000,2000,0.5,2,5,0.7689999999999999,0.020405500459435615,0.21551665913408297,0.2547416159226198,0.45200000000000007,25.292,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,1000,3533,0,20,10,1,500,1000,0.5,2,5,0.759,0.023986843985469648,0.23426438475005207,0.28354667448707377,0.504,24.752,1000.0,0.1306709994090947,0.15796350598541428,0.32,38.003
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,5,250,3533,0,20,10,1,1000,2000,0.5,1,5,0.7689999999999999,0.020405500459435615,0.21551665913408297,0.2547416159226198,0.45200000000000007,25.292,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,5,250,3533,0,20,10,1,1000,2000,0.5,3,5,0.7689999999999999,0.020405500459435615,0.21551665913408297,0.2547416159226198,0.45200000000000007,25.292,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,5,250,3533,0,20,10,1,1000,2000,0.5,2,5,0.7689999999999999,0.020405500459435615,0.3229252766951954,0.37827425379084856,0.62,13.144,250.0,0.2053776929653401,0.2429209958904252,0.44400000000000006,20.048
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,5,250,3533,0,20,10,1,1000,2000,0.5,2,5,0.7689999999999999,0.020405500459435615,0.13810970797624894,0.16149475601679503,0.3,62.14,250.0,0.0674246756862894,0.07375479163260915,0.156,97.392
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,5,250,3533,0,100,10,1,1000,2000,0.5,2,5,0.5810000000000001,0.010148667708024172,0.18799072716922363,0.22277178022145566,0.41200000000000003,24.616,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,5,250,3533,0,50,10,1,1000,2000,0.5,2,5,0.6609999999999999,0.0143228671202349,0.19305236181667124,0.23467677471995535,0.44400000000000006,23.828,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,5,250,3533,0,20,10,1,1000,2000,0.25,2,5,0.7689999999999999,0.020405500459435615,0.21551665913408297,0.2547416159226198,0.45200000000000007,25.292,250.0,0.11924972164928951,0.13970347923751084,0.284,39.6
MovieLens-1M,profile,robustness,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,5,250,3533,0,20,10,1,500,1000,0.5,2,5,0.6610000000000001,0.006283389999925738,0.013879158811593698,0.010419305386546878,0.022399999999999996,929.692,250.0,0.013495160514996102,0.009373376511150007,0.02,662.432
MovieLens-1M,profile,robustness,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,1000,3533,0,20,10,1,500,1000,0.5,2,4,0.631,0.004399582060269072,0.13074152471177342,0.15556310915934463,0.3006,52.4616,1000.0,0.1306709994090947,0.15796350598541428,0.32,38.003
