dataset,test,n_users,statistic,p_value,left,right,mean_difference,cohens_dz,sd_difference,mde80_power
MovieLens-1M,friedman_bounded_aia,1000,3767.167292198371,0.0,,,,,,
MovieLens-1M,paired_aia,1000,,,shapley_mc,lime,-0.15473966692443789,-1.0100346742963329,0.15320233142712783,0.013565112684416115
MovieLens-1M,paired_joint_effect_ndcg,1000,,,shapley_mc,lime,-0.002266723507661615,-0.08535032634627292,0.02655787745280951,0.0023515347119742523
MovieLens-1M,paired_aia,1000,,,shapley_mc,loo,-0.19935265008009065,-1.2541699809005387,0.15895185909086132,0.014074197565267359
MovieLens-1M,paired_joint_effect_ndcg,1000,,,shapley_mc,loo,-0.002867991184700869,-0.08468661252484412,0.03386593345978386,0.002998617574977453
MovieLens-1M,paired_aia,1000,,,lime,loo,-0.04461298315565277,-0.9264487503044302,0.04815483116685406,0.0042638105111874325
MovieLens-1M,paired_joint_effect_ndcg,1000,,,lime,loo,-0.0006012676770392538,-0.030221574757497684,0.01989531259915849,0.0017616060720827907
Amazon-Digital-Music,friedman_bounded_aia,993,2481.968543668474,0.0,,,,,,
Amazon-Digital-Music,paired_aia,993,,,shapley_mc,lime,-0.4130483396821839,-0.7258044494379555,0.5690903934276484,0.050566705737017145
Amazon-Digital-Music,paired_joint_effect_ndcg,1000,,,shapley_mc,lime,0.00013047613300275605,0.003887801955781154,0.0335603856592382,0.0029715632194316373
Amazon-Digital-Music,paired_aia,993,,,shapley_mc,loo,-0.43701824139229306,-0.7710882953952478,0.5667551226001742,0.05035920451381447
Amazon-Digital-Music,paired_joint_effect_ndcg,1000,,,shapley_mc,loo,0.0019401898654732052,0.04737927592853444,0.04095017974524838,0.0036258834804718007
Amazon-Digital-Music,paired_aia,993,,,lime,loo,-0.023969901710109105,-0.19080884162754866,0.12562259434967593,0.011162235096151451
Amazon-Digital-Music,paired_joint_effect_ndcg,1000,,,lime,loo,0.0018097137324704492,0.08180468290877249,0.022122373293575606,0.001958798431973032
