dataset,model,method,obs,ci_low,ci_high,n_users
Amazon-Digital-Music,itemknn,Greedy,0.1310298051163378,0.10019384523597158,0.16246506481962275,993
Amazon-Digital-Music,itemknn,LIME,0.8271444739507023,0.8116428452850609,0.8408144047857466,993
Amazon-Digital-Music,itemknn,LOO,0.8511143756608114,0.8341028005980131,0.8662536443844765,993
Amazon-Digital-Music,itemknn,Random,-0.010319619685153296,-0.023996177020239862,0.00391185762595177,993
Amazon-Digital-Music,itemknn,Shapley,0.4140961342685184,0.381011287488644,0.4471291872000461,993
Amazon-Digital-Music,profile,Greedy,0.4651322796192455,0.4518013739698124,0.4777739490102261,1000
Amazon-Digital-Music,profile,LIME,0.7552412100696001,0.7466978209998206,0.7641021715838341,1000
Amazon-Digital-Music,profile,LOO,0.7804006491135284,0.7707658945636408,0.7891938952409818,1000
Amazon-Digital-Music,profile,Random,0.004532674508154383,-0.012922351567678968,0.019155890263632114,1000
Amazon-Digital-Music,profile,Shapley,0.3100701139984886,0.28868778622486896,0.331559369379975,1000
MovieLens-1M,itemknn,Greedy,0.31826261206945705,0.30126944026859004,0.3339636584382338,1000
MovieLens-1M,itemknn,LIME,0.9333530379688385,0.9279924622030942,0.938192708975756,1000
MovieLens-1M,itemknn,LOO,0.9779660211244913,0.9740793614782306,0.981011626691324,1000
MovieLens-1M,itemknn,Random,0.0003468276681053535,-0.006211951697546491,0.007025224646440269,1000
MovieLens-1M,itemknn,Shapley,0.7786133710444005,0.7691488966943333,0.788575989195138,1000
MovieLens-1M,profile,Greedy,0.3165248325152659,0.30419160514498395,0.3291801535839031,1000
MovieLens-1M,profile,LIME,0.9733256106690008,0.9712684383954537,0.975178478590424,1000
MovieLens-1M,profile,LOO,0.9936215611426756,0.9923698445769916,0.9946345502067593,1000
MovieLens-1M,profile,Random,0.0003579595997397851,-0.006288209483370088,0.00674583812304826,1000
MovieLens-1M,profile,Shapley,0.7874882753778729,0.7822442541627618,0.7932193352270793,1000
