dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,observed_mean_aia,null_mean,null_p95,permutation_p,draws,n_users
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,0.1310298051163378,-0.00024148779793284146,0.012429490165672573,0.000999000999000999,1000,993
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.8271444739507023,-0.0003678584983368347,0.012817181071700528,0.000999000999000999,1000,993
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.8511143756608114,6.647407569017047e-05,0.012642601965436616,0.000999000999000999,1000,993
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.010319619685153297,6.767461060930017e-05,0.012476156129469273,0.9090909090909091,1000,993
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.4140961342685184,-3.132331425132559e-05,0.01276515448935952,0.000999000999000999,1000,993
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,0.4651322796192456,0.0001257913225680412,0.0122001265027542,0.000999000999000999,1000,1000
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.7552412100696001,-0.00041804424994510087,0.012258539997412282,0.000999000999000999,1000,1000
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.7804006491135284,0.00014814732655889012,0.012337555979624083,0.000999000999000999,1000,1000
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.0045326745081543844,-0.00018534311512017406,0.012040042255731881,0.2827172827172827,1000,1000
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.3100701139984886,-0.0005714512602876998,0.01145946871652599,0.000999000999000999,1000,1000
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,0.31826261206945705,0.0002422394809657121,0.0060743453451722,0.000999000999000999,1000,1000
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.9333530379688386,8.348118495796982e-05,0.005887742804691953,0.000999000999000999,1000,1000
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.9779660211244914,-0.00011227517778467594,0.005859299178329214,0.000999000999000999,1000,1000
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.00034682766810535215,1.4624249961868106e-06,0.005776402860591465,0.46353646353646355,1000,1000
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.7786133710444005,-7.987127312420875e-05,0.005450352378945921,0.000999000999000999,1000,1000
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy sequential deletion,0.316524832515266,5.998853413356515e-05,0.00566301417107146,0.000999000999000999,1000,1000
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.9733256106690008,-0.00013069544145225275,0.005357383709943301,0.000999000999000999,1000,1000
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.9936215611426757,0.0001349499493643612,0.005799131032022675,0.000999000999000999,1000,1000
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.0003579595997397851,-9.877656862229612e-05,0.0056441694131461944,0.4355644355644356,1000,1000
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.7874882753778729,-8.243342245989293e-05,0.005845631932309187,0.000999000999000999,1000,1000
