dataset,method,n_users,mean,median,p90,p95,frac_above_one
Amazon-Digital-Music,shapley_mc,196,0.2060866216899562,0.0,1.0,1.0,0.0
Amazon-Digital-Music,lime,196,0.19747018179963355,0.0,1.0,1.0,0.0
Amazon-Digital-Music,loo,196,0.23245562720153704,0.0,1.0,1.0,0.0
Amazon-Digital-Music,greedy_cf,196,0.7836432870385996,1.0,1.0972486208332994,1.4734430344101472,0.10714285714285714
Amazon-Digital-Music,random,196,1.197120735588696,0.9652744547641714,1.8757016441987129,2.7688257976962616,0.35714285714285715
MovieLens-1M,shapley_mc,339,0.26750514280636545,0.0,1.0,1.0,0.0029498525073746312
MovieLens-1M,lime,339,0.2254392106136918,0.0,1.0,1.0,0.0
MovieLens-1M,loo,339,0.217388551988017,0.0,1.0,1.0,0.0029498525073746312
MovieLens-1M,greedy_cf,339,1.4710466540505367,1.0,1.487826337531835,2.8139759542110947,0.1592920353982301
MovieLens-1M,random,339,1.4455018214497235,1.0,1.792473334435269,3.387274779815112,0.3303834808259587
