dataset,model,left,right,n,diff,ci_low,ci_high,p_perm,dz,p_holm
Amazon-Digital-Music,itemknn,Shapley,LIME,993,-0.4130483396821839,-0.44893800587055305,-0.37901210551005254,0.000999000999000999,-0.7258044494379555,0.000999000999000999
Amazon-Digital-Music,itemknn,Shapley,LOO,993,-0.43701824139229306,-0.4727525953273988,-0.4032622494480854,0.000999000999000999,-0.7710882953952478,0.000999000999000999
Amazon-Digital-Music,itemknn,Shapley,Greedy,993,0.2830663291521806,0.23637668308977244,0.32806528154892545,0.000999000999000999,0.3878484034389816,0.000999000999000999
Amazon-Digital-Music,itemknn,Shapley,Random,993,0.4244157539536716,0.38698590533000926,0.4585442145269018,0.000999000999000999,0.7254833878985038,0.000999000999000999
Amazon-Digital-Music,itemknn,LIME,LOO,993,-0.023969901710109105,-0.031850038742404246,-0.01632809692062823,0.000999000999000999,-0.19080884162754866,0.000999000999000999
Amazon-Digital-Music,itemknn,LIME,Greedy,993,0.6961146688343645,0.6648889936127185,0.7291772623546234,0.000999000999000999,1.3169499367952415,0.000999000999000999
Amazon-Digital-Music,itemknn,LIME,Random,993,0.8374640936358556,0.816120369684951,0.8582723627700815,0.000999000999000999,2.4299794923267113,0.000999000999000999
Amazon-Digital-Music,itemknn,LOO,Greedy,993,0.7200845705444737,0.6888188886106744,0.7527536418898044,0.000999000999000999,1.3796232298138695,0.000999000999000999
Amazon-Digital-Music,itemknn,LOO,Random,993,0.8614339953459647,0.8407014602229996,0.8829765166578462,0.000999000999000999,2.4605180809157865,0.000999000999000999
Amazon-Digital-Music,itemknn,Greedy,Random,993,0.14134942480149107,0.10660907984069606,0.17685130604957616,0.000999000999000999,0.24920168624845804,0.000999000999000999
Amazon-Digital-Music,profile,Shapley,LIME,1000,-0.4451710960711115,-0.4672705865768649,-0.42396683273022134,0.000999000999000999,-1.2539217399221512,0.000999000999000999
Amazon-Digital-Music,profile,Shapley,LOO,1000,-0.47033053511503975,-0.49143941784221973,-0.45041342250796157,0.000999000999000999,-1.3888816366097552,0.000999000999000999
Amazon-Digital-Music,profile,Shapley,Greedy,1000,-0.15506216562075692,-0.18268949057405443,-0.12870650559979238,0.000999000999000999,-0.34977600836919087,0.000999000999000999
Amazon-Digital-Music,profile,Shapley,Random,1000,0.30553743949033424,0.27702514941444,0.33193383267326065,0.000999000999000999,0.6853780300539569,0.000999000999000999
Amazon-Digital-Music,profile,LIME,LOO,1000,-0.02515943904392821,-0.028296736548152575,-0.02191569053379541,0.000999000999000999,-0.49272461695047387,0.000999000999000999
Amazon-Digital-Music,profile,LIME,Greedy,1000,0.2901089304503546,0.27732627176371105,0.303443348979323,0.000999000999000999,1.3360606274396893,0.000999000999000999
Amazon-Digital-Music,profile,LIME,Random,1000,0.7507085355614457,0.7333684746607881,0.7675818073669107,0.000999000999000999,2.666688218765879,0.000999000999000999
Amazon-Digital-Music,profile,LOO,Greedy,1000,0.31526836949428283,0.30145215811793985,0.32930115238463803,0.000999000999000999,1.3916179844858683,0.000999000999000999
Amazon-Digital-Music,profile,LOO,Random,1000,0.775867974605374,0.7577432791827626,0.7933429203459079,0.000999000999000999,2.6791535571313307,0.000999000999000999
Amazon-Digital-Music,profile,Greedy,Random,1000,0.46059960511109116,0.4401019809740054,0.4802063960922978,0.000999000999000999,1.4392672210873003,0.000999000999000999
MovieLens-1M,itemknn,Shapley,LIME,1000,-0.15473966692443789,-0.16512083199873778,-0.14524123211868611,0.000999000999000999,-1.0100346742963329,0.000999000999000999
MovieLens-1M,itemknn,Shapley,LOO,1000,-0.19935265008009065,-0.21024632299559257,-0.18939698770121494,0.000999000999000999,-1.2541699809005387,0.000999000999000999
MovieLens-1M,itemknn,Shapley,Greedy,1000,0.46035075897494354,0.4392526445897162,0.48040748862685617,0.000999000999000999,1.4311991960826895,0.000999000999000999
MovieLens-1M,itemknn,Shapley,Random,1000,0.7782665433762952,0.7657488452818781,0.7900873827269149,0.000999000999000999,4.079137907596159,0.000999000999000999
