dataset,method,metric,mean,ci_low,ci_high,n
Amazon-Digital-Music,Greedy,intervention_success_ndcg,0.076,0.0668,0.08520249999999999,2000
Amazon-Digital-Music,LIME,intervention_success_ndcg,0.13589999999999997,0.12380000000000001,0.1481025,2000
Amazon-Digital-Music,LOO,intervention_success_ndcg,0.1341,0.12240000000000001,0.14610250000000002,2000
Amazon-Digital-Music,Random,intervention_success_ndcg,0.047,0.0415,0.052899999999999996,2000
Amazon-Digital-Music,Shapley,intervention_success_ndcg,0.13739999999999997,0.1257,0.1498025,2000
MovieLens-1M,Greedy,intervention_success_ndcg,0.0628,0.05309749999999999,0.0731,2000
MovieLens-1M,LIME,intervention_success_ndcg,0.1685,0.15389750000000002,0.18390499999999999,2000
MovieLens-1M,LOO,intervention_success_ndcg,0.1685,0.1536975,0.1837025,2000
MovieLens-1M,Random,intervention_success_ndcg,0.045,0.0391975,0.051,2000
MovieLens-1M,Shapley,intervention_success_ndcg,0.161,0.1463975,0.1761075,2000
Amazon-Digital-Music,Greedy,abstention,0.0035,0.001,0.006,2000
Amazon-Digital-Music,LIME,abstention,0.0707,0.062,0.07940000000000001,2000
Amazon-Digital-Music,LOO,abstention,0.08,0.0705,0.09029999999999999,2000
Amazon-Digital-Music,Random,abstention,0.0476,0.043,0.052300000000000006,2000
Amazon-Digital-Music,Shapley,abstention,0.005199999999999999,0.0023000000000000004,0.0086,2000
MovieLens-1M,Greedy,abstention,0.0,0.0,0.0,2000
MovieLens-1M,LIME,abstention,0.0001,0.0,0.00030000000000000003,2000
MovieLens-1M,LOO,abstention,0.0001,0.0,0.00030000000000000003,2000
MovieLens-1M,Random,abstention,0.0004,0.0001,0.0008999999999999999,2000
MovieLens-1M,Shapley,abstention,0.0,0.0,0.0,2000
