dataset,method,mean_ndcg_effect,success_all,success_active,harm,abstention,normalized_regret_ndcg,active_users,n_users,aggregation
MovieLens-1M,shapley_mc,0.040263,0.2742,0.8088,0.0006,0.0000,0.2675,339,1000,seed-mean-within-user_then-user-mean
MovieLens-1M,lime,0.042530,0.2876,0.8484,0.0000,0.0000,0.2254,339,1000,seed-mean-within-user_then-user-mean
MovieLens-1M,loo,0.043131,0.2890,0.8525,0.0010,0.0000,0.2174,339,1000,seed-mean-within-user_then-user-mean
MovieLens-1M,greedy_cf,0.005837,0.1030,0.3038,0.0710,0.0000,1.4710,339,1000,seed-mean-within-user_then-user-mean
MovieLens-1M,random,-0.001005,0.0744,0.2195,0.0758,0.0004,1.4455,339,1000,seed-mean-within-user_then-user-mean
Amazon-Digital-Music,shapley_mc,0.033269,0.1702,0.8684,0.0020,0.0102,0.2061,196,1000,seed-mean-within-user_then-user-mean
Amazon-Digital-Music,lime,0.033139,0.1712,0.8735,0.0010,0.0702,0.1975,196,1000,seed-mean-within-user_then-user-mean
Amazon-Digital-Music,loo,0.031329,0.1670,0.8520,0.0010,0.0860,0.2325,196,1000,seed-mean-within-user_then-user-mean
Amazon-Digital-Music,greedy_cf,0.010152,0.0900,0.4592,0.0280,0.0070,0.7836,196,1000,seed-mean-within-user_then-user-mean
Amazon-Digital-Music,random,-0.003872,0.0660,0.3367,0.0622,0.0476,1.1971,196,1000,seed-mean-within-user_then-user-mean
