source,family,family_size,left,right,n_users,mean_difference,raw_p,exceedances,draws,published_holm_p,recomputed_holm_p
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,MC Shapley,LIME,250,-0.4608,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,MC Shapley,LOO,250,-0.456,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,MC Shapley,Greedy seq. del.,250,0,1,10000,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,MC Shapley,Random control,250,-0.0528,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,LIME,LOO,250,0.0048,0.585441455854,5854,10000,1,1
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,LIME,Greedy seq. del.,250,0.4608,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,LIME,Random control,250,0.408,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,LOO,Greedy seq. del.,250,0.456,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,LOO,Random control,250,0.4032,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / abstention,10,Greedy seq. del.,Random control,250,-0.0528,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,MC Shapley,LIME,250,0.368946022619,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,MC Shapley,LOO,250,0.379402381673,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,MC Shapley,Greedy seq. del.,250,0.292560072915,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,MC Shapley,Random control,250,0.171766251835,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,LIME,LOO,250,0.0104563590541,0.034296570343,342,10000,0.034296570343,0.034296570343
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,LIME,Greedy seq. del.,250,-0.0763859497035,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,LIME,Random control,250,-0.197179770784,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
per-metric family,Amazon / full_catalogue / target_margin / actionability_gap,10,LOO,Greedy seq. del.,250,-0.0868423087576,9.99900009999e-05,0,10000,0.000999900009999,0.000999900009999
