dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.0653934606539346,0.0625,inf,5,5,0,0,10000,10000,0.5999400059994,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.0633936606339366,0.0625,inf,5,5,0,0,10000,10000,0.5999400059994,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06209379062093791,0.0625,inf,5,5,0,0,10000,10000,0.5999400059994,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.059994000599940006,0.0625,inf,5,5,0,0,10000,10000,0.5999400059994,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06939306069393061,0.0625,inf,5,5,0,0,10000,10000,0.6069393060693931,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06269373062693731,0.0625,inf,5,5,0,0,10000,10000,0.6069393060693931,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06309369063093691,0.0625,inf,5,5,0,0,10000,10000,0.6069393060693931,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.060693930606939304,0.0625,inf,5,5,0,0,10000,10000,0.6069393060693931,1,Amazon full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06239376062393761,0.0625,inf,5,5,0,0,10000,10000,0.6049395060493951,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.060493950604939506,0.0625,inf,5,5,0,0,10000,10000,0.6049395060493951,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06409359064093591,0.0625,inf,5,5,0,0,10000,10000,0.6049395060493951,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.06919308069193081,0.0625,inf,5,5,0,0,10000,10000,0.6049395060493951,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06429357064293571,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.06409359064093591,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,loo,0.19,0.19,0.19,0.19,0.06509349065093491,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,random,0.19,0.19,0.19,0.19,0.0627937206279372,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,greedy_cf,0.19,0.19,0.19,0.19,0.06309369063093691,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,4,MovieLens B=1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,lime,0.19,0.19,0.19,0.19,0.0648935106489351,0.0625,inf,5,5,0,0,10000,10000,0.627937206279372,4,MovieLens B=1
