dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,observed_mean_aia,null_mean,null_p95,permutation_p,draws,n_users
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.06399999999999999,0.0036560000000000004,0.16399999999999998,0.2787212787212787,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.00799999999999999,0.0052840000000000005,0.16799999999999998,0.5194805194805194,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.05999999999999998,0.004700000000000001,0.176,0.7212787212787213,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.036,0.0035679999999999996,0.16399999999999998,0.3706293706293706,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.156,0.002224,0.15999999999999998,0.058941058941058944,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.08,-0.0011199999999999995,0.16419999999999982,0.2097902097902098,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.10400000000000001,-0.00042800000000000016,0.168,0.14785214785214784,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.11199999999999996,0.005227999999999999,0.16819999999999982,0.8841158841158842,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.09200000000000001,-0.0004999999999999996,0.16819999999999982,0.8261738261738262,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.076,-0.00822,0.15599999999999997,0.20279720279720279,1000,5
