dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,mean_rank_stability,ci95_low,ci95_high,n_users
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,-0.044000000000000004,-0.10799999999999998,0.007999999999999978,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,-0.074,-0.15999999999999998,0.024000000000000014,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,-0.04,-0.19,0.10999999999999999,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,-0.005999999999999994,-0.086,0.094,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,-0.04999999999999999,-0.12999999999999998,0.030000000000000006,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,-0.008000000000000004,-0.07999999999999999,0.06399999999999999,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.031999999999999994,-0.027999999999999997,0.13799999999999998,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.05800000000000001,-0.10600000000000001,0.22200000000000003,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.031999999999999994,-0.12,0.238,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,-0.028000000000000014,-0.142,0.09399999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,greedy_cf,Greedy counterfactual,0.015999999999999997,-0.10399999999999998,0.13599999999999995,5
