dataset,model,model_role,evaluation_mode,utility,analysis_role,condition,n_seeds,n_users,n_items,users_with_repeated_target,n_max,epochs,profile_samples_per_user,permutations,action_rho,budget,gate_passed_seeds,gate_changed_fraction,gate_mean_abs_ndcg,model_ndcg@10,model_recall@10,popularity_ndcg@10,popularity_recall@10
Amazon-Digital-Music,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
Amazon-Digital-Music,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,primary,primary,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,5,5,5000,0,20,5,1,500,0.5,1,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,5,5,5000,0,20,5,1,500,0.5,3,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,5,5,5000,0,20,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,5,5,5000,0,100,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,5,5,5000,0,50,5,1,500,0.5,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
MovieLens-1M,itemknn,primary,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,5,5,5000,0,20,5,1,500,0.25,2,5,0.6,0.01,0.22000000000000003,0.4,0.14,0.29
