seed,method,method_label,mean,median,n,source_file,metric
42,shapley_mc,Monte Carlo Shapley,0.7406536430030238,0.7695777906304222,500,movielens_actionshap_seed42.json,aia
42,loo_oracle,LOO oracle,0.9877770427714699,0.993984962406015,500,movielens_actionshap_seed42.json,aia
42,lime,LIME,0.9207343603764655,0.9466976264189886,500,movielens_actionshap_seed42.json,aia
43,shapley_mc,Monte Carlo Shapley,0.7472797481156616,0.7819548872180451,500,movielens_actionshap_seed43.json,aia
43,loo_oracle,LOO oracle,0.9799668595078811,0.9879699248120299,500,movielens_actionshap_seed43.json,aia
43,lime,LIME,0.8951750755436513,0.9191508182220256,500,movielens_actionshap_seed43.json,aia
44,shapley_mc,Monte Carlo Shapley,0.7486872903670116,0.7744360902255639,500,movielens_actionshap_seed44.json,aia
44,loo_oracle,LOO oracle,0.9871122667837837,0.993984962406015,500,movielens_actionshap_seed44.json,aia
44,lime,LIME,0.919629188303956,0.9465686274509804,500,movielens_actionshap_seed44.json,aia
45,shapley_mc,Monte Carlo Shapley,0.7556916734967817,0.7789473684210525,500,movielens_actionshap_seed45.json,aia
45,loo_oracle,LOO oracle,0.9909559456023852,0.9969924812030074,500,movielens_actionshap_seed45.json,aia
45,lime,LIME,0.9328526701368807,0.956390977443609,500,movielens_actionshap_seed45.json,aia
46,shapley_mc,Monte Carlo Shapley,0.7534502455748585,0.7803354540196644,500,movielens_actionshap_seed46.json,aia
46,loo_oracle,LOO oracle,0.9885171082787181,0.9954887218045112,500,movielens_actionshap_seed46.json,aia
46,lime,LIME,0.9256947926170835,0.9518796992481202,500,movielens_actionshap_seed46.json,aia
42,shapley_mc,Monte Carlo Shapley,0.7295646953150049,0.7548872180451127,500,movielens_actionshap_seed42.json,faithfulness_alignment
42,loo_oracle,LOO oracle,1.0,1.0,500,movielens_actionshap_seed42.json,faithfulness_alignment
42,lime,LIME,0.9354573447192641,0.9526315789473683,500,movielens_actionshap_seed42.json,faithfulness_alignment
43,shapley_mc,Monte Carlo Shapley,0.725857228736176,0.7608082706766917,500,movielens_actionshap_seed43.json,faithfulness_alignment
43,loo_oracle,LOO oracle,1.0,1.0,500,movielens_actionshap_seed43.json,faithfulness_alignment
43,lime,LIME,0.9171534480998876,0.9383458646616539,500,movielens_actionshap_seed43.json,faithfulness_alignment
44,shapley_mc,Monte Carlo Shapley,0.7357137378617254,0.7624060150375939,500,movielens_actionshap_seed44.json,faithfulness_alignment
44,loo_oracle,LOO oracle,1.0,1.0,500,movielens_actionshap_seed44.json,faithfulness_alignment
44,lime,LIME,0.9356661799500808,0.9547397906531034,500,movielens_actionshap_seed44.json,faithfulness_alignment
45,shapley_mc,Monte Carlo Shapley,0.7467120921390271,0.7684210526315788,500,movielens_actionshap_seed45.json,faithfulness_alignment
45,loo_oracle,LOO oracle,1.0,1.0,500,movielens_actionshap_seed45.json,faithfulness_alignment
45,lime,LIME,0.9444614947488013,0.9608432846822939,500,movielens_actionshap_seed45.json,faithfulness_alignment
46,shapley_mc,Monte Carlo Shapley,0.7407752910144549,0.7660401002506265,500,movielens_actionshap_seed46.json,faithfulness_alignment
46,loo_oracle,LOO oracle,1.0,1.0,500,movielens_actionshap_seed46.json,faithfulness_alignment
46,lime,LIME,0.9395985965530856,0.9578947368421054,500,movielens_actionshap_seed46.json,faithfulness_alignment
42,shapley_mc,Monte Carlo Shapley,0.011088947688018895,0.0,500,movielens_actionshap_seed42.json,actionability_gap
42,loo_oracle,LOO oracle,-0.012222957228530024,-0.006015037593985029,500,movielens_actionshap_seed42.json,actionability_gap
42,lime,LIME,-0.014722984342798583,-0.004511278195488577,500,movielens_actionshap_seed42.json,actionability_gap
43,shapley_mc,Monte Carlo Shapley,0.021422519379485326,0.009022556390977376,500,movielens_actionshap_seed43.json,actionability_gap
43,loo_oracle,LOO oracle,-0.02003314049211887,-0.012030075187970057,500,movielens_actionshap_seed43.json,actionability_gap
43,lime,LIME,-0.021978372556236338,-0.01318681318681314,500,movielens_actionshap_seed43.json,actionability_gap
44,shapley_mc,Monte Carlo Shapley,0.01297355250528625,0.0015037593984961184,500,movielens_actionshap_seed44.json,actionability_gap
44,loo_oracle,LOO oracle,-0.012887733216216234,-0.006015037593985029,500,movielens_actionshap_seed44.json,actionability_gap
44,lime,LIME,-0.016036991646124776,-0.004511278195488799,500,movielens_actionshap_seed44.json,actionability_gap
45,shapley_mc,Monte Carlo Shapley,0.00897958135775473,0.0,500,movielens_actionshap_seed45.json,actionability_gap
45,loo_oracle,LOO oracle,-0.009044054397614805,-0.00300751879699257,500,movielens_actionshap_seed45.json,actionability_gap
45,lime,LIME,-0.011608824611920577,-0.0015037593984962294,500,movielens_actionshap_seed45.json,actionability_gap
46,shapley_mc,Monte Carlo Shapley,0.012674954560403476,0.0,500,movielens_actionshap_seed46.json,actionability_gap
46,loo_oracle,LOO oracle,-0.011482891721281854,-0.004511278195488799,500,movielens_actionshap_seed46.json,actionability_gap
46,lime,LIME,-0.013903803936002084,-0.003007518796992459,500,movielens_actionshap_seed46.json,actionability_gap
42,shapley_mc,Monte Carlo Shapley,-0.0005904348607017337,-0.00031729323308270164,500,movielens_actionshap_seed42.json,aia_null_mean
42,loo_oracle,LOO oracle,-0.00045650947494198257,-8.566871724765112e-06,500,movielens_actionshap_seed42.json,aia_null_mean
42,lime,LIME,-0.00046919337824198495,-7.302078726227368e-05,500,movielens_actionshap_seed42.json,aia_null_mean
43,shapley_mc,Monte Carlo Shapley,0.00024214648107310634,0.0009022556390977438,500,movielens_actionshap_seed43.json,aia_null_mean
43,loo_oracle,LOO oracle,0.00019764912136367244,0.00010676691729323306,500,movielens_actionshap_seed43.json,aia_null_mean
43,lime,LIME,0.00013547208168508462,-0.0002601503759398489,500,movielens_actionshap_seed43.json,aia_null_mean
44,shapley_mc,Monte Carlo Shapley,-9.411528409670828e-05,0.0004075187969924814,500,movielens_actionshap_seed44.json,aia_null_mean
44,loo_oracle,LOO oracle,-0.000573189879779663,-0.00045451127819548986,500,movielens_actionshap_seed44.json,aia_null_mean
44,lime,LIME,-0.0006665273591217861,-0.0006827067669172938,500,movielens_actionshap_seed44.json,aia_null_mean
45,shapley_mc,Monte Carlo Shapley,-0.0002657319739084444,-0.00015789473684210621,500,movielens_actionshap_seed45.json,aia_null_mean
45,loo_oracle,LOO oracle,-0.00024744753255000933,-0.000834586466165411,500,movielens_actionshap_seed45.json,aia_null_mean
45,lime,LIME,-0.00015346287386504103,-0.00044210526315789276,500,movielens_actionshap_seed45.json,aia_null_mean
46,shapley_mc,Monte Carlo Shapley,-0.0001314294518690805,-8.721804511278297e-05,500,movielens_actionshap_seed46.json,aia_null_mean
46,loo_oracle,LOO oracle,-0.00034516639892615106,-0.000607518796992481,500,movielens_actionshap_seed46.json,aia_null_mean
46,lime,LIME,-0.0005566890230512525,-0.0006395604395604418,500,movielens_actionshap_seed46.json,aia_null_mean
42,shapley_mc,Monte Carlo Shapley,0.0005231657194844305,0.0006852854303838196,500,movielens_actionshap_seed42.json,joint_effect_b2
