seed,metric,method,method_label,mean,n
42,aia,shapley_mc,Monte Carlo Shapley,0.7315044042644661,100
42,aia,loo_oracle,LOO oracle,0.9909219823004652,100
42,aia,lime,LIME,0.9344135902796893,100
42,faithfulness_alignment,shapley_mc,Monte Carlo Shapley,0.7216446819434436,100
42,faithfulness_alignment,loo_oracle,LOO oracle,1.0,100
42,faithfulness_alignment,lime,LIME,0.9425647453681507,100
42,actionability_gap,shapley_mc,Monte Carlo Shapley,0.009859722321022623,100
42,actionability_gap,loo_oracle,LOO oracle,-0.009078017699534747,100
42,actionability_gap,lime,LIME,-0.008151155088461594,100
42,joint_regret_b2_on_oracle_subset,shapley_mc,Monte Carlo Shapley,0.00016758250479597113,20
42,joint_regret_b2_on_oracle_subset,loo_oracle,LOO oracle,0.00040026273135080335,20
42,joint_regret_b2_on_oracle_subset,lime,LIME,0.0008029601681137893,20
43,aia,shapley_mc,Monte Carlo Shapley,0.7180761815583797,100
43,aia,loo_oracle,LOO oracle,0.9889468926326511,100
43,aia,lime,LIME,0.9117294091357558,100
43,faithfulness_alignment,shapley_mc,Monte Carlo Shapley,0.7003290868058669,100
43,faithfulness_alignment,loo_oracle,LOO oracle,1.0,100
43,faithfulness_alignment,lime,LIME,0.9318857115536683,100
43,actionability_gap,shapley_mc,Monte Carlo Shapley,0.017747094752512724,100
43,actionability_gap,loo_oracle,LOO oracle,-0.011053107367348896,100
43,actionability_gap,lime,LIME,-0.02015630241791234,100
43,joint_regret_b2_on_oracle_subset,shapley_mc,Monte Carlo Shapley,0.0001675531276099429,20
43,joint_regret_b2_on_oracle_subset,loo_oracle,LOO oracle,0.0007398950898765382,20
43,joint_regret_b2_on_oracle_subset,lime,LIME,0.001077875177620677,20
44,aia,shapley_mc,Monte Carlo Shapley,0.7320047921634609,100
44,aia,loo_oracle,LOO oracle,0.9911855095369028,100
44,aia,lime,LIME,0.9320804680355763,100
44,faithfulness_alignment,shapley_mc,Monte Carlo Shapley,0.7226781848182777,100
44,faithfulness_alignment,loo_oracle,LOO oracle,1.0,100
44,faithfulness_alignment,lime,LIME,0.943784357025843,100
44,actionability_gap,shapley_mc,Monte Carlo Shapley,0.009326607345183188,100
44,actionability_gap,loo_oracle,LOO oracle,-0.008814490463097298,100
44,actionability_gap,lime,LIME,-0.0117038889902667,100
44,joint_regret_b2_on_oracle_subset,shapley_mc,Monte Carlo Shapley,0.0002380912694685239,20
44,joint_regret_b2_on_oracle_subset,loo_oracle,LOO oracle,0.0009475799638678367,20
44,joint_regret_b2_on_oracle_subset,lime,LIME,0.0010038898536744224,20
45,aia,shapley_mc,Monte Carlo Shapley,0.7382007971388777,100
45,aia,loo_oracle,LOO oracle,0.9967221217894593,100
45,aia,lime,LIME,0.9536357192858741,100
45,faithfulness_alignment,shapley_mc,Monte Carlo Shapley,0.7334719684340426,100
45,faithfulness_alignment,loo_oracle,LOO oracle,1.0,100
45,faithfulness_alignment,lime,LIME,0.9582201621907503,100
45,actionability_gap,shapley_mc,Monte Carlo Shapley,0.004728828704834893,100
45,actionability_gap,loo_oracle,LOO oracle,-0.003277878210540761,100
45,actionability_gap,lime,LIME,-0.004584442904876349,100
45,joint_regret_b2_on_oracle_subset,shapley_mc,Monte Carlo Shapley,7.739582779648091e-05,20
45,joint_regret_b2_on_oracle_subset,loo_oracle,LOO oracle,0.0010227775256233835,20
45,joint_regret_b2_on_oracle_subset,lime,LIME,0.0010298660171172563,20
46,aia,shapley_mc,Monte Carlo Shapley,0.751020607875097,100
46,aia,loo_oracle,LOO oracle,0.9934906128443279,100
46,aia,lime,LIME,0.9392420945927137,100
46,faithfulness_alignment,shapley_mc,Monte Carlo Shapley,0.7453634783688962,100
46,faithfulness_alignment,loo_oracle,LOO oracle,1.0,100
46,faithfulness_alignment,lime,LIME,0.9489077823621166,100
46,actionability_gap,shapley_mc,Monte Carlo Shapley,0.005657129506200714,100
46,actionability_gap,loo_oracle,LOO oracle,-0.006509387155672005,100
46,actionability_gap,lime,LIME,-0.009665687769402938,100
46,joint_regret_b2_on_oracle_subset,shapley_mc,Monte Carlo Shapley,0.00010891262498759491,20
46,joint_regret_b2_on_oracle_subset,loo_oracle,LOO oracle,0.0008744065843903359,20
46,joint_regret_b2_on_oracle_subset,lime,LIME,0.0005592740872687018,20
