dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,mean_rank_stability,ci95_low,ci95_high,n_users
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,-0.09999999999999998,-0.12399999999999997,-0.07199999999999998,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,-0.0020000000000000018,-0.07799999999999999,0.07999999999999999,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,-0.039999999999999994,-0.15999999999999998,0.088,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,-0.12000000000000002,-0.20400000000000001,0.005999999999999978,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,-0.059999999999999984,-0.15199999999999997,0.018,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.06800000000000002,-0.10800000000000001,0.27799999999999997,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.04,-0.10200000000000001,0.23199999999999998,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.039999999999999994,-0.12799999999999997,0.05199999999999998,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.024,-0.052000000000000005,0.11599999999999996,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.05399999999999998,-0.096,0.20400000000000001,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,0.037999999999999985,-0.05600000000000001,0.18399999999999997,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,0.024000000000000007,-0.10399999999999998,0.176,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,0.172,-0.040000000000000015,0.37,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,-0.010000000000000009,-0.184,0.24199999999999994,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,-0.11999999999999997,-0.18999999999999995,-0.049999999999999996,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.05599999999999998,-0.10200000000000001,0.21399999999999997,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,-0.044000000000000004,-0.128,0.04799999999999999,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.021999999999999995,-0.09599999999999997,0.13999999999999996,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.06200000000000001,-0.10800000000000001,0.23200000000000004,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.03799999999999999,-0.05600000000000001,0.15799999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,greedy_cf,Greedy counterfactual,0.152,-0.024,0.32,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,lime,LIME,0.14199999999999996,-0.011999999999999988,0.33399999999999996,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,loo,Leave-one-out,-0.092,-0.15599999999999997,-0.036,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,random,Random control,-0.05799999999999998,-0.09799999999999996,-0.02,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,ndcg,sensitivity,utility-ndcg,shapley_mc,Monte Carlo Shapley,-0.057999999999999996,-0.13599999999999998,0.033999999999999996,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,0.12199999999999997,-0.098,0.36,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,lime,LIME,-0.057999999999999996,-0.18014999999999987,0.078,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,-0.041999999999999996,-0.10999999999999999,0.024,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,random,Random control,0.003999999999999992,-0.11199999999999999,0.11199999999999996,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,0.03200000000000001,-0.14799999999999996,0.21199999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,-0.10200000000000001,-0.162,-0.044,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.07799999999999999,-0.011999999999999999,0.21200000000000002,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.03600000000000001,-0.174,0.10400000000000001,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.02599999999999999,-0.052000000000000005,0.10399999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.019999999999999997,-0.08399999999999999,0.14199999999999996,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,greedy_cf,Greedy counterfactual,0.039999999999999994,-0.003999999999999998,0.086,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,lime,LIME,0.06,-0.03600000000000001,0.152,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,loo,Leave-one-out,0.10800000000000001,-0.036000000000000004,0.21599999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,random,Random control,-0.003999999999999998,-0.122,0.122,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,shapley_mc,Monte Carlo Shapley,-0.032,-0.09199999999999998,0.015999999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,greedy_cf,Greedy counterfactual,-0.057999999999999996,-0.13999999999999999,0.039999999999999994,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,lime,LIME,0.019999999999999997,-0.09799999999999999,0.17999999999999997,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,loo,Leave-one-out,-0.045999999999999985,-0.13199999999999998,0.06,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,random,Random control,0.025999999999999985,-0.02000000000000001,0.07999999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,shapley_mc,Monte Carlo Shapley,0.003999999999999998,-0.0841999999999998,0.10399999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,greedy_cf,Greedy counterfactual,0.04999999999999999,-0.094,0.19399999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,lime,LIME,0.11999999999999997,0.04799999999999999,0.19599999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,loo,Leave-one-out,-0.12399999999999997,-0.17999999999999997,-0.07199999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,random,Random control,-0.002000000000000004,-0.05399999999999999,0.03599999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,shapley_mc,Monte Carlo Shapley,-0.01999999999999998,-0.186,0.22200000000000003,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,greedy_cf,Greedy counterfactual,0.015999999999999997,-0.10399999999999998,0.13599999999999995,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,lime,LIME,0.027999999999999987,-0.11800000000000002,0.194,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,loo,Leave-one-out,0.15599999999999997,0.038000000000000006,0.2919999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,random,Random control,-0.06999999999999999,-0.176,0.07799999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,shapley_mc,Monte Carlo Shapley,-0.12799999999999997,-0.18799999999999997,-0.023999999999999973,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,greedy_cf,Greedy counterfactual,-0.026000000000000002,-0.14199999999999996,0.07799999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,lime,LIME,0.11399999999999996,-0.04,0.24399999999999994,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,loo,Leave-one-out,0.0,-0.09199999999999997,0.118,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,random,Random control,0.02,-0.11999999999999997,0.152,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax100,shapley_mc,Monte Carlo Shapley,-0.06799999999999999,-0.17399999999999996,0.03799999999999999,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,greedy_cf,Greedy counterfactual,0.017999999999999995,-0.11199999999999999,0.19599999999999995,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,lime,LIME,-0.078,-0.176,0.044,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,loo,Leave-one-out,-0.096,-0.168,-0.031999999999999994,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,random,Random control,-0.088,-0.16399999999999998,-0.006000000000000003,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,nmax50,shapley_mc,Monte Carlo Shapley,-0.0020000000000000005,-0.07199999999999998,0.06799999999999998,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,rho025,greedy_cf,Greedy counterfactual,-0.10600000000000001,-0.16,-0.064,5
