dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,greedy_cf,0.18857801509283267,0.0,0.15942976905555004,0.21975700848134794,9.999000099990002e-05,1.3947062786960198e-31,0.385931590966989,993,375,120,498,10000,10000,0.000999900009999,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.23175306243806554,0.0,0.20213713339420314,0.2629330807680566,9.999000099990002e-05,4.692419872580819e-56,0.47287023349855917,993,415,79,499,10000,10000,0.000999900009999,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,random,0.13088220358303432,0.0,0.11075980568941331,0.15150431141375176,9.999000099990002e-05,2.5310793484791153e-30,0.392019580471585,993,380,127,486,10000,10000,0.000999900009999,0,Amazon sampled
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,greedy_cf,0.29256007291540576,0.0,0.21588388838447767,0.3730652769813068,9.999000099990002e-05,2.554536552562813e-13,0.460997153350713,250,115,29,106,10000,10000,0.000999900009999,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.3689460226188879,0.004545454545454639,0.2924535410483235,0.4503212009035013,9.999000099990002e-05,2.225811352050909e-22,0.5791619494486504,250,126,16,108,10000,10000,0.000999900009999,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,random,0.1717662518352285,0.0,0.12723183762338713,0.22030107949146135,9.999000099990002e-05,2.3497857955010335e-12,0.4599364448410552,250,114,31,105,10000,10000,0.000999900009999,1,Amazon full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,greedy_cf,0.019126937734457835,0.004226445186616057,0.01273484484446303,0.027349878008582573,9.999000099990002e-05,8.435931986217478e-15,0.15964086213031642,1000,551,322,127,10000,10000,0.000999900009999,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.03444192717893116,0.009644063200240794,0.028133601687500377,0.042768308046605495,9.999000099990002e-05,1.7094905918678886e-66,0.28876350692947655,1000,684,189,127,10000,10000,0.000999900009999,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,random,0.015486445440218108,0.0036097013268788763,0.011917303439031229,0.019315549235074513,9.999000099990002e-05,3.3761271572786538e-18,0.2610540695281268,1000,564,308,128,10000,10000,0.000999900009999,2,MovieLens sampled
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,greedy_cf,0.046383118202256025,0.020906271697817707,0.033542976083738824,0.0608175635673706,9.999000099990002e-05,2.098388835505154e-12,0.41601935540704976,250,174,66,10,10000,10000,0.000999900009999,3,MovieLens full catalogue
