dataset,model,utility,permutations,reference_permutations,mean_rank_correlation_to_reference,std_rank_correlation_to_reference,valid_rank_seeds,mean_top1_agreement,mean_top2_jaccard,mean_top2_exact_agreement,mean_efficiency_error,user_threshold_coverage,rank_valid_fraction,selected,selection_status
Amazon-Digital-Music,itemknn,target_margin,25,1000,0.9348132670734838,0.05342261611610238,5.0,0.848,0.8706666666666666,0.8079999999999999,1.832599827097936e-18,0.43,1.0,False,threshold_selected
Amazon-Digital-Music,itemknn,target_margin,50,1000,0.9532067478445186,0.0333378898877332,5.0,0.89,0.909,0.8640000000000001,5.634571585352854e-18,0.6,1.0,True,threshold_selected
Amazon-Digital-Music,itemknn,target_margin,100,1000,0.9690345078038577,0.024973607260624857,5.0,0.9159999999999999,0.945,0.9159999999999999,6.916478023991091e-18,0.7,1.0,False,threshold_selected
Amazon-Digital-Music,itemknn,target_margin,250,1000,0.9739102404303642,0.017945091101060205,5.0,0.9520000000000001,0.9466666666666668,0.9179999999999999,2.913424709816148e-17,0.78,1.0,False,threshold_selected
Amazon-Digital-Music,itemknn,target_margin,500,1000,0.9797492202328115,0.014789992761867331,5.0,0.966,0.9616666666666667,0.9420000000000001,5.45970603796353e-17,0.83,1.0,False,threshold_selected
Amazon-Digital-Music,itemknn,target_margin,1000,1000,0.9821178437145929,0.013865205326302619,5.0,0.9740000000000001,0.9653333333333333,0.948,7.881287853242492e-17,0.85,1.0,False,threshold_selected
Amazon-Digital-Music,profile,target_margin,25,1000,0.9022566011903472,0.08622607391565303,5.0,0.79,0.7913333333333334,0.6859999999999999,2.445960101127298e-19,0.23,1.0,False,threshold_selected
Amazon-Digital-Music,profile,target_margin,50,1000,0.9297348586913603,0.06280751897076084,5.0,0.84,0.8563333333333334,0.784,9.961649560796815e-19,0.39,1.0,False,threshold_selected
Amazon-Digital-Music,profile,target_margin,100,1000,0.9669902038106372,0.030565379347083324,5.0,0.9,0.9109999999999999,0.8640000000000001,4.0685770724691035e-18,0.66,1.0,True,threshold_selected
Amazon-Digital-Music,profile,target_margin,250,1000,0.9742255658685999,0.02372459432450659,5.0,0.9279999999999999,0.9296666666666666,0.892,9.309176693395039e-18,0.74,1.0,False,threshold_selected
Amazon-Digital-Music,profile,target_margin,500,1000,0.9840786615345439,0.014224993433553308,5.0,0.94,0.9466666666666668,0.9179999999999999,1.9658536951072668e-17,0.78,1.0,False,threshold_selected
Amazon-Digital-Music,profile,target_margin,1000,1000,0.9888323176307696,0.011342756560680503,5.0,0.9440000000000001,0.9683333333333333,0.9520000000000001,4.0967880129971764e-17,0.89,1.0,False,threshold_selected
MovieLens-1M,itemknn,ndcg,25,1000,0.825700663035267,0.04735370053147618,4.52,0.5760000000000001,0.6086666666666667,0.494,4.335507647335035e-17,0.22826086956521738,0.92,False,max_budget_unconverged
MovieLens-1M,itemknn,ndcg,50,1000,0.8574955443216885,0.03929670843879812,4.59,0.622,0.6113333333333333,0.488,6.287385976438964e-17,0.2717391304347826,0.92,False,max_budget_unconverged
MovieLens-1M,itemknn,ndcg,100,1000,0.8846787968401518,0.03431789073174785,4.59,0.6779999999999999,0.6896666666666667,0.596,8.354425549798872e-17,0.391304347826087,0.92,False,max_budget_unconverged
MovieLens-1M,itemknn,ndcg,250,1000,0.9167010186073449,0.023836396436023338,4.6,0.718,0.7373333333333334,0.664,3.1860165818509837e-16,0.5217391304347826,0.92,False,max_budget_unconverged
MovieLens-1M,itemknn,ndcg,500,1000,0.930606514030071,0.019194573160737926,4.6,0.7340000000000001,0.774,0.706,5.766069520181208e-16,0.6086956521739131,0.92,False,max_budget_unconverged
MovieLens-1M,itemknn,ndcg,1000,1000,0.9408632140828673,0.018371166870297887,4.6,0.7559999999999999,0.7813333333333332,0.722,1.254198784758631e-15,0.6195652173913043,0.92,True,max_budget_unconverged
MovieLens-1M,itemknn,target_margin,25,1000,0.9348090624545732,0.02585899008110053,5.0,0.596,0.6466666666666667,0.494,6.4217294676316424e-18,0.13,1.0,False,threshold_selected
MovieLens-1M,itemknn,target_margin,50,1000,0.9584209876810494,0.0188403126551662,5.0,0.664,0.728,0.602,8.81456366230715e-18,0.33,1.0,False,threshold_selected
MovieLens-1M,itemknn,target_margin,100,1000,0.9744688454476379,0.010256478865173056,5.0,0.7340000000000001,0.7879999999999999,0.69,1.2154340034431499e-17,0.52,1.0,False,threshold_selected
MovieLens-1M,itemknn,target_margin,250,1000,0.985262526431257,0.0063590703899566526,5.0,0.804,0.8433333333333333,0.768,1.9062876277509134e-17,0.69,1.0,True,threshold_selected
MovieLens-1M,itemknn,target_margin,500,1000,0.9901648935687635,0.004329173671059763,5.0,0.828,0.8766666666666667,0.816,3.316357605198661e-17,0.74,1.0,False,threshold_selected
MovieLens-1M,itemknn,target_margin,1000,1000,0.993551541337919,0.003088756481591555,5.0,0.866,0.904,0.856,5.335705835496362e-17,0.81,1.0,False,threshold_selected
MovieLens-1M,profile,target_margin,25,1000,0.9454894191463851,0.020480794948104165,5.0,0.706,0.7786666666666666,0.674,7.649480007754228e-18,0.25,1.0,False,threshold_selected
MovieLens-1M,profile,target_margin,50,1000,0.9670020686228117,0.013456989084493031,5.0,0.792,0.8320000000000001,0.75,9.006359026619837e-18,0.56,1.0,True,threshold_selected
MovieLens-1M,profile,target_margin,100,1000,0.9779250015206671,0.008301971705636853,5.0,0.86,0.8773333333333333,0.816,1.1873423251540504e-17,0.7,1.0,False,threshold_selected
MovieLens-1M,profile,target_margin,250,1000,0.9873092507080122,0.005537011470484755,5.0,0.914,0.9053333333333333,0.858,1.9796989568499068e-17,0.82,1.0,False,threshold_selected
MovieLens-1M,profile,target_margin,500,1000,0.9912413731263575,0.0042548275311290705,5.0,0.938,0.9266666666666667,0.89,3.11595367563644e-17,0.86,1.0,False,threshold_selected
MovieLens-1M,profile,target_margin,1000,1000,0.9941055614148493,0.0029928041028379378,5.0,0.938,0.9373333333333334,0.9059999999999999,4.519225705462704e-17,0.89,1.0,False,threshold_selected
