dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,method_order
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,actionability_gap,0.12853273283380962,0.1101628794643622,0.1478152138821209,993,5,7,0,Amazon sampled,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,actionability_gap,-0.10322032960425587,-0.11854901682480144,-0.08898464257639667,993,5,7,0,Amazon sampled,1
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,actionability_gap,-0.14888562433918862,-0.16552769450381039,-0.132776994494451,993,5,7,0,Amazon sampled,2
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,actionability_gap,-0.060045282259023086,-0.07638134681885539,-0.04417488498301494,993,5,7,0,Amazon sampled,3
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,actionability_gap,-0.002349470749224772,-0.00954277776620047,0.004714695096180463,993,5,7,0,Amazon sampled,4
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,actionability_gap,0.16892701088503986,0.12756427899975148,0.21169432970064186,250,5,0,1,Amazon full catalogue,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.20001901173384806,-0.2423122324690957,-0.16029118816320492,250,5,0,1,Amazon full catalogue,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.21047537078793788,-0.25439140069162736,-0.171506362348701,250,5,0,1,Amazon full catalogue,2
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,actionability_gap,-0.12363306203036589,-0.16905522989596072,-0.08341520444106129,250,5,0,1,Amazon full catalogue,3
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,actionability_gap,-0.0028392409501886524,-0.020627382903392173,0.0156560174188507,250,5,0,1,Amazon full catalogue,4
