dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_effect_ndcg,0.0024659794897988396,0.0,0.005863917959195359,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,abstention,0.0,0.0,0.0,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,normalized_regret_ndcg,0.41938200260161124,0.01938200260161127,0.8193820026016112,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,intervention_success_ndcg,0.012,0.0,0.028,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_ndcg,0.0025951928404762486,0.0,0.006143532708154651,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,abstention,0.4608,0.39998000000000006,0.5232,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_ndcg,0.4,0.0,0.8,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success_ndcg,0.012,0.0,0.028,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_ndcg,0.0025951928404762486,0.0,0.0060948760571433195,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,abstention,0.456,0.392,0.5160999999999986,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,normalized_regret_ndcg,0.4,0.0,0.8,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,intervention_success_ndcg,0.012,0.0,0.028,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,joint_effect_ndcg,0.0004775273946962379,-0.0013830850877544019,0.0025068357277668513,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,abstention,0.0528,0.039200000000000006,0.06720000000000001,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,normalized_regret_ndcg,0.792808021511551,0.6160664246334846,0.9247152798023374,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,intervention_success_ndcg,0.0048000000000000004,0.0008,0.0112,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,joint_effect_ndcg,0.003455118146059062,0.0005237190142858301,0.007219533827832698,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,abstention,0.0,0.0,0.0,250,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,normalized_regret_ndcg,0.25550560208128903,0.015505602081289016,0.64,5,5,245
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,intervention_success_ndcg,0.0152,0.0032,0.0312,250,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,joint_effect_ndcg,0.010152178285546723,0.0056499586943513785,0.01488500024571364,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,abstention,0.007,0.002,0.013,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,normalized_regret_ndcg,0.7836432870385996,0.6391250905683112,0.9538406495820556,196,5,804
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,intervention_success_ndcg,0.09,0.073,0.108,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,joint_effect_ndcg,0.033138615483075604,0.027420466094992227,0.039124840513452365,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,abstention,0.0702,0.055,0.086,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,normalized_regret_ndcg,0.19747018179963355,0.15033563060102345,0.24795434012948597,196,5,804
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,intervention_success_ndcg,0.1712,0.148,0.1948,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,joint_effect_ndcg,0.031328901750605154,0.025670145314189183,0.03729005022654304,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,abstention,0.086,0.069,0.104,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,normalized_regret_ndcg,0.23245562720153704,0.18008046482249332,0.2867881026867107,196,5,804
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,intervention_success_ndcg,0.167,0.145,0.191,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,joint_effect_ndcg,-0.0038716505926005428,-0.007430088419402735,-0.00037627963197084884,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,abstention,0.0476,0.0412,0.05439999999999999,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,normalized_regret_ndcg,1.197120735588696,1.0521737004075031,1.369146082328511,196,5,804
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,intervention_success_ndcg,0.066,0.055400000000000005,0.077,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,joint_effect_ndcg,0.033269091616078356,0.027352615060625415,0.03956251595805535,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,abstention,0.010199999999999999,0.004200000000000001,0.017,1000,5,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,normalized_regret_ndcg,0.2060866216899562,0.15771083940658898,0.2562473979691185,196,5,804
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,intervention_success_ndcg,0.1702,0.14739999999999998,0.1944,1000,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,joint_effect_ndcg,0.0045643435950248265,0.000587365831841254,0.00964749218647255,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,abstention,0.0,0.0,0.0,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,normalized_regret_ndcg,0.6188535220446528,0.4072490946482903,0.8338373151217828,20,5,230
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy counterfactual,intervention_success_ndcg,0.044,0.02,0.072,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,joint_effect_ndcg,0.014457522492232455,0.006726798769642332,0.023988062770416985,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,abstention,0.0,0.0,0.0,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,normalized_regret_ndcg,0.20755821850880501,0.05971233375760091,0.3768037653176958,20,5,230
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,intervention_success_ndcg,0.072,0.04,0.104,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,joint_effect_ndcg,0.014272161003058247,0.006590052640698365,0.023643625395098507,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,abstention,0.0,0.0,0.0,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,normalized_regret_ndcg,0.21328308719712621,0.06877894877539055,0.37770205163000453,20,5,230
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,intervention_success_ndcg,0.072,0.044,0.104,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,joint_effect_ndcg,-0.0004890853299749942,-0.0038918003620714106,0.0035088383192970122,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,abstention,0.0008,0.0,0.0024000000000000002,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,normalized_regret_ndcg,1.2434665742993882,0.8573195801178404,1.7781818162077674,20,5,230
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,random,Random control,intervention_success_ndcg,0.0208,0.009600000000000001,0.033600000000000005,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,joint_effect_ndcg,0.011521873546389344,0.004579363099840031,0.019998034211760492,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,abstention,0.0,0.0,0.0,250,5,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,normalized_regret_ndcg,0.29046560605593585,0.12940247663348298,0.4686025821024281,20,5,230
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,intervention_success_ndcg,0.06720000000000001,0.0384,0.0992,250,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,joint_effect_ndcg,0.005836723127685548,0.0009078962366961543,0.010938413325624539,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,abstention,0.0,0.0,0.0,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,normalized_regret_ndcg,1.4710466540505367,1.1140693981237313,1.8948281517453596,339,5,661
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,intervention_success_ndcg,0.103,0.085,0.122,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,joint_effect_ndcg,0.042529858049918545,0.03670621565698359,0.0486854881365534,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,abstention,0.0,0.0,0.0,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,normalized_regret_ndcg,0.22543921061369182,0.18677285604334112,0.26380071670450694,339,5,661
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,intervention_success_ndcg,0.2876,0.25920000000000004,0.31560000000000005,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,joint_effect_ndcg,0.0431311257269578,0.03724089283144175,0.049513484834653225,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,abstention,0.0,0.0,0.0,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,normalized_regret_ndcg,0.217388551988017,0.177639163948522,0.25788741181596936,339,5,661
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,intervention_success_ndcg,0.289,0.262,0.318,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,joint_effect_ndcg,-0.0010045505840918921,-0.003791735183556652,0.0018142921412653483,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,abstention,0.0004,0.0,0.001,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,normalized_regret_ndcg,1.4455018214497235,1.2269089972855067,1.6981903590693814,339,5,661
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,intervention_success_ndcg,0.07440000000000001,0.06380000000000001,0.08560499999999993,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,joint_effect_ndcg,0.04026313454225692,0.03460112532004863,0.04616218912973102,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,abstention,0.0,0.0,0.0,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,normalized_regret_ndcg,0.26750514280636545,0.22734067874237157,0.3089716679681431,339,5,661
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,intervention_success_ndcg,0.2742,0.2474,0.302,1000,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,greedy_cf,Greedy counterfactual,joint_effect_ndcg,-0.0015921758701801364,-0.009166841682430924,0.0057464346843785815,250,5,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,greedy_cf,Greedy counterfactual,abstention,0.0,0.0,0.0,250,5,0
