dataset,model,evaluation_mode,utility,analysis_role,condition,metric,left,right,mean_difference,median_difference,ci95_low,ci95_high,permutation_p,sign_test_p,cohens_dz,n_users,wins,losses,ties,bootstrap_draws,permutation_draws,p_holm,condition_order,condition_label
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.2317530624380655,0.0,0.2021371333942031,0.2629330807680566,9.999000099990002e-05,4.692419872580818e-56,0.4728702334985591,993,415,79,499,10000,10000,0.000999900009999,0,Amazon sampled
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,loo,0.2774183571729982,0.0,0.2452433038584488,0.310860463984804,9.999000099990002e-05,6.984458809680102e-88,0.5248343536128501,993,452,42,499,10000,10000,0.000999900009999,0,Amazon sampled
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.3689460226188879,0.0045454545454546,0.2924535410483235,0.4503212009035013,9.999000099990002e-05,2.225811352050909e-22,0.5791619494486504,250,126,16,108,10000,10000,0.000999900009999,1,Amazon full catalogue
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,loo,0.3794023816729778,0.0253275407316894,0.3045428230580198,0.4624468470827488,9.999000099990002e-05,1.6871505409728516e-27,0.5927395700391059,250,132,11,107,10000,10000,0.000999900009999,1,Amazon full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,lime,0.0344419271789311,0.0096440632002407,0.0281336016875003,0.0427683080466054,9.999000099990002e-05,1.7094905918678886e-66,0.2887635069294765,1000,684,189,127,10000,10000,0.000999900009999,2,MovieLens sampled
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,actionability_gap,shapley_mc,loo,0.0388290611982913,0.0117815852597898,0.0321615838121481,0.0473578588343484,9.999000099990002e-05,1.2115064230277609e-71,0.318797656011795,1000,693,180,127,10000,10000,0.000999900009999,2,MovieLens sampled
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,lime,0.0769684111308641,0.0420955076236371,0.0627548470367516,0.0925261400726574,9.999000099990002e-05,7.466651011612526e-34,0.6279591209144243,250,210,31,9,10000,10000,0.000999900009999,3,MovieLens full catalogue
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,actionability_gap,shapley_mc,loo,0.0854755669577454,0.0461631913203584,0.0702195551464757,0.1020847824924214,9.999000099990002e-05,3.368925515565351e-38,0.6525737139998518,250,215,26,9,10000,10000,0.000999900009999,3,MovieLens full catalogue
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,lime,0.0345655619522168,0.0122077998420705,0.0247172399836603,0.0466125182985574,9.999000099990002e-05,7.300791075671818e-25,0.3888167154126459,250,185,37,28,10000,10000,0.000999900009999,4,MovieLens B=1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,actionability_gap,shapley_mc,loo,0.0380541700463958,0.0154296565905345,0.0280296285667448,0.0504037655218812,9.999000099990002e-05,5.085930693250699e-27,0.4263163491365339,250,188,34,28,10000,10000,0.000999900009999,4,MovieLens B=1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,lime,0.0345655619522168,0.0122077998420705,0.0247972444066489,0.0465440421636638,9.999000099990002e-05,7.300791075671818e-25,0.3888167154126459,250,185,37,28,10000,10000,0.000999900009999,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,actionability_gap,shapley_mc,loo,0.0380541700463958,0.0154296565905345,0.0281861275828519,0.0497764869829359,9.999000099990002e-05,5.085930693250699e-27,0.4263163491365339,250,188,34,28,10000,10000,0.000999900009999,5,MovieLens B=3
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,lime,0.0259361557015411,0.0049531577590306,0.0156798246087268,0.0394428053491652,9.999000099990002e-05,6.334979413164817e-12,0.2641731971930829,250,150,53,47,10000,10000,0.000999900009999,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates100,actionability_gap,shapley_mc,loo,0.0299141407642669,0.0055709886112872,0.0191713106185192,0.0437263623768296,9.999000099990002e-05,2.439785040184167e-13,0.2971945257668549,250,153,50,47,10000,10000,0.000999900009999,6,MovieLens 100 candidates
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,candidates500,actionability_gap,shapley_mc,lime,0.054690883266323,0.0242565773349665,0.0427595210551444,0.0684005065047453,9.999000099990002e-05,4.615291938494596e-31,0.5346275782147056,250,196,30,24,10000,10000,0.000999900009999,7,MovieLens 500 candidates
