dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users,condition_order,condition_label,method_order
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,actionability_gap,0.1285327328338095,0.1101628794643621,0.1478152138821209,993,5,7,0,Amazon sampled,0
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,actionability_gap,-0.1032203296042559,-0.1185490168248014,-0.0889846425763966,993,5,7,0,Amazon sampled,1
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,actionability_gap,-0.1488856243391886,-0.1655276945038103,-0.1327769944944509,993,5,7,0,Amazon sampled,2
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,actionability_gap,0.1689270108850398,0.1275642789997514,0.2116943297006418,250,5,0,1,Amazon full catalogue,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.200019011733848,-0.2423122324690957,-0.1602911881632049,250,5,0,1,Amazon full catalogue,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.2104753707879379,-0.2543914006916273,-0.1715063623487009,250,5,0,1,Amazon full catalogue,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,actionability_gap,0.0168713802120033,0.0127316069922919,0.0217819941520524,1000,5,0,2,MovieLens sampled,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,actionability_gap,-0.0175705469669277,-0.0216801913429656,-0.0142916580860763,1000,5,0,2,MovieLens sampled,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,actionability_gap,-0.0219576809862879,-0.0260255119568788,-0.0188283233962557,1000,5,0,2,MovieLens sampled,2
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,shapley_mc,Monte Carlo Shapley,actionability_gap,0.0438020827145639,0.0339414223524747,0.0545368585328522,250,5,0,3,MovieLens full catalogue,0
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,lime,LIME,actionability_gap,-0.0331663284163001,-0.0414730950391139,-0.0258359734484245,250,5,0,3,MovieLens full catalogue,1
MovieLens-1M,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,loo,Leave-one-out,actionability_gap,-0.0416734842431814,-0.0505342847439313,-0.0339413603618073,250,5,0,3,MovieLens full catalogue,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,shapley_mc,Monte Carlo Shapley,actionability_gap,0.0161015047125486,0.0095090018069555,0.0233837517257695,250,5,0,4,MovieLens B=1,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,lime,LIME,actionability_gap,-0.018464057239668,-0.0246787579860404,-0.0131480419798426,250,5,0,4,MovieLens B=1,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget1,loo,Leave-one-out,actionability_gap,-0.021952665333847,-0.0279508514588359,-0.0172006656936552,250,5,0,4,MovieLens B=1,2
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,shapley_mc,Monte Carlo Shapley,actionability_gap,0.0161015047125486,0.009503086991462,0.0234640297230479,250,5,0,5,MovieLens B=3,0
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,lime,LIME,actionability_gap,-0.018464057239668,-0.0246803505033206,-0.0131601435378596,250,5,0,5,MovieLens B=3,1
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,sensitivity,budget3,loo,Leave-one-out,actionability_gap,-0.021952665333847,-0.0280084634099919,-0.0171349911185718,250,5,0,5,MovieLens B=3,2
