dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,observed_mean_aia,null_mean,null_p95,permutation_p,draws,n_users
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,0.06000000000000001,0.003232,0.17600000000000002,0.2987012987012987,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,-0.09999999999999998,0.0020519999999999996,0.16399999999999998,0.8111888111888111,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.020000000000000007,-0.003303999999999999,0.16,0.41358641358641357,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,0.076,0.0031079999999999984,0.16,0.24375624375624375,1000,5
Amazon-Digital-Music,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.124,0.0025919999999999997,0.16799999999999998,0.10589410589410589,1000,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,-0.088,0.003539999999999999,0.16819999999999982,0.8271728271728271,1000,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,-0.23199999999999998,-0.001908,0.16,0.993006993006993,1000,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.05199999999999998,0.003304000000000001,0.17219999999999983,0.6863136863136863,1000,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.059999999999999984,-0.004624,0.156,0.7042957042957043,1000,5
Amazon-Digital-Music,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.011999999999999983,0.0034839999999999997,0.16799999999999998,0.4825174825174825,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,-0.04399999999999999,-0.000532,0.16799999999999998,0.6663336663336663,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,0.10400000000000001,0.0051519999999999995,0.172,0.16983016983016982,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,0.064,0.0033599999999999993,0.16419999999999982,0.2857142857142857,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.031999999999999994,-0.0016519999999999996,0.16,0.6233766233766234,1000,5
MovieLens-1M,itemknn,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,-0.055999999999999994,-0.0039559999999999994,0.152,0.6973026973026973,1000,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,greedy_cf,Greedy counterfactual,-0.031999999999999994,-0.0014080000000000008,0.15999999999999998,0.6253746253746254,1000,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,lime,LIME,-0.08399999999999999,0.0017919999999999998,0.168,0.8061938061938062,1000,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,loo,Leave-one-out,-0.076,-0.0010280000000000005,0.16419999999999982,0.7582417582417582,1000,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,random,Random control,-0.019999999999999987,-0.004511999999999999,0.16399999999999998,0.5684315684315684,1000,5
MovieLens-1M,profile,sampled_unseen_negatives_with_target,target_margin,primary,primary,shapley_mc,Monte Carlo Shapley,0.16799999999999998,0.0023159999999999995,0.16399999999999998,0.04395604395604396,1000,5
