dataset,model,evaluation_mode,utility,analysis_role,condition,method,method_label,metric,mean,ci95_low,ci95_high,n_users,n_seeds,missing_users
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,aia,0.4151442220278157,0.38701406744001043,0.44285292559915623,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,aia_ndcg,0.05907399628907403,-0.09058645811486904,0.199244136264681,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,faithfulness_alignment,0.5465047128346167,0.5239319453459955,0.5695676688807374,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,actionability_gap,-0.13136049080680096,-0.15244223693865935,-0.11068676646127636,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,signed_alignment,0.07592419544542739,0.04616850354302561,0.10545907746980027,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,signed_alignment_ndcg,0.35742046161652385,0.2696910449235654,0.44402710023099645,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,direction_accuracy,0.6255801575504019,0.613490710704118,0.6376599341447122,999,5,1
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,direction_accuracy_ndcg,0.8885391444713479,0.8267958030669894,0.9433414043583536,59,5,941
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,top1_precision,0.026,0.017,0.036,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,top3_precision,0.2733333333333334,0.25633333333333336,0.29,1000,5,0
Amazon-Digital-Music,itemknn,full_unseen_catalogue,target_margin,full_catalogue,full_catalogue,greedy_cf,Greedy sequential deletion,top5_precision,0.24031666666666668,0.22589916666666668,0.25493375,1000,5,0
