seed,mask_a,mask_b,crn_difference,independent_difference,paired_difference,crn_run,independent_run
300,0,1,0.30337064745384945,0.30336441747692394,6.229976925509195e-06,runs/reviewer-crn-click/crn-click-True-300-0-1-20260815T225338Z-4383fec9,runs/reviewer-crn-click/crn-click-False-300-0-1-20260815T230546Z-c6caa3b9
301,0,1,0.30485678290951124,0.30485221802561513,4.564883896107652e-06,runs/reviewer-crn-click/crn-click-True-301-0-1-20260815T231708Z-075e3272,runs/reviewer-crn-click/crn-click-False-301-0-1-20260815T232828Z-5c5724e4
302,0,1,0.30112941109049685,0.301130479645741,-1.0685552441769275e-06,runs/reviewer-crn-click/crn-click-True-302-0-1-20260815T233956Z-6bc9c8d2,runs/reviewer-crn-click/crn-click-False-302-0-1-20260815T235115Z-d057cc96
303,0,1,0.3032868965595965,0.30328742037301115,-5.238134146434703e-07,runs/reviewer-crn-click/crn-click-True-303-0-1-20260816T000249Z-e9d515be,runs/reviewer-crn-click/crn-click-False-303-0-1-20260816T001458Z-4e371719
304,0,1,0.30291791947370444,0.30291703990874663,8.795649578119402e-07,runs/reviewer-crn-click/crn-click-True-304-0-1-20260816T003745Z-78d8eb4b,runs/reviewer-crn-click/crn-click-False-304-0-1-20260816T005444Z-9f9fbd11
305,0,1,0.30227965559781433,0.3022886570068628,-9.001409048470244e-06,runs/reviewer-crn-click/crn-click-True-305-0-1-20260816T010612Z-b9d00894,runs/reviewer-crn-click/crn-click-False-305-0-1-20260816T011734Z-e34e5bbe
306,0,1,0.3014426434696567,0.30144832611710887,-5.682647452154299e-06,runs/reviewer-crn-click/crn-click-True-306-0-1-20260816T012850Z-de3ab44a,runs/reviewer-crn-click/crn-click-False-306-0-1-20260816T014120Z-75c6e01f
307,0,1,0.30179495245854204,0.30179408838127275,8.640772692913856e-07,runs/reviewer-crn-click/crn-click-True-307-0-1-20260816T015523Z-f1205ac5,runs/reviewer-crn-click/crn-click-False-307-0-1-20260816T021346Z-b361fe43
308,0,1,0.3028776288074337,0.30287995448590493,-2.325678471248871e-06,runs/reviewer-crn-click/crn-click-True-308-0-1-20260816T023109Z-c83875fd,runs/reviewer-crn-click/crn-click-False-308-0-1-20260816T024558Z-bbb43bb5
309,0,1,0.3037204295730284,0.30371307622747556,7.353345552851831e-06,runs/reviewer-crn-click/crn-click-True-309-0-1-20260816T030201Z-55e3f85c,runs/reviewer-crn-click/crn-click-False-309-0-1-20260816T031717Z-c291d2cf
310,0,1,0.3018828086462523,0.30187772303669813,5.085609554145165e-06,runs/reviewer-crn-click/crn-click-True-310-0-1-20260816T033341Z-071806b4,runs/reviewer-crn-click/crn-click-False-310-0-1-20260816T034952Z-1ef94349
311,0,1,0.30055282835434693,0.3005659642504452,-1.3135896098248612e-05,runs/reviewer-crn-click/crn-click-True-311-0-1-20260816T040642Z-c525de08,runs/reviewer-crn-click/crn-click-False-311-0-1-20260816T042335Z-9feb9f3b
312,0,1,0.30397731664338534,0.30398597932477833,-8.662681392990201e-06,runs/reviewer-crn-click/crn-click-True-312-0-1-20260816T044019Z-a54287ac,runs/reviewer-crn-click/crn-click-False-312-0-1-20260816T045553Z-89a58a87
