model,seed,recall_at_10,ndcg_at_10,evaluated_users,restored_checkpoint_epoch
popularity,-1,0.049,0.025520142891504102,1000,
torch_bpr_mf_bias,42,0.088,0.04356617388767771,1000,22.0
torch_bpr_mf_bias,43,0.09,0.0440124385867084,1000,78.0
torch_bpr_mf_bias,44,0.091,0.046442446278415594,1000,24.0
torch_bpr_mf_bias,45,0.082,0.04184324352291486,1000,18.0
torch_bpr_mf_bias,46,0.089,0.04333792735011882,1000,56.0
torch_sasrec,42,0.145,0.07512226549545664,1000,20.0
torch_sasrec,43,0.146,0.07401824563623162,1000,48.0
torch_sasrec,44,0.14,0.07104889237335084,1000,42.0
torch_sasrec,45,0.147,0.07844591938890151,1000,44.0
torch_sasrec,46,0.148,0.0725471813555763,1000,60.0
