budget,min_relevance_delta,max_provider_disparity,max_fatigue,mode,status,base_feasible,selected_mask,selected_portfolio,robust_lower_improvement
0.15,-0.02,0.22,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.22,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.22,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.28,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.28,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.28,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.15,-0.02,0.34,0.55,improvement,abstain_keep_base,True,0,abstain,0.0
0.15,-0.02,0.34,0.65,improvement,abstain_keep_base,True,0,abstain,0.0
0.15,-0.02,0.34,0.75,improvement,abstain_keep_base,True,0,abstain,0.0
0.15,-0.08,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.08,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.08,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.08,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.08,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.08,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.08,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.15,-0.08,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.15,-0.08,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.15,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.15,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.15,-0.15,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.15,-0.15,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.02,0.22,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.25,-0.02,0.22,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.25,-0.02,0.22,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.25,-0.02,0.28,0.55,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.25,-0.02,0.28,0.65,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.25,-0.02,0.28,0.75,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.25,-0.02,0.34,0.55,improvement,abstain_keep_base,True,0,abstain,0.0
0.25,-0.02,0.34,0.65,improvement,abstain_keep_base,True,0,abstain,0.0
0.25,-0.02,0.34,0.75,improvement,abstain_keep_base,True,0,abstain,0.0
0.25,-0.08,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.08,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.08,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.08,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.08,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.08,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.08,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.08,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.08,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.15,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.15,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.25,-0.15,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.25,-0.15,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.02,0.22,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.35,-0.02,0.22,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.35,-0.02,0.22,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.35,-0.02,0.28,0.55,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.35,-0.02,0.28,0.65,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.35,-0.02,0.28,0.75,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.35,-0.02,0.34,0.55,improvement,abstain_keep_base,True,0,abstain,0.0
0.35,-0.02,0.34,0.65,improvement,abstain_keep_base,True,0,abstain,0.0
0.35,-0.02,0.34,0.75,improvement,abstain_keep_base,True,0,abstain,0.0
0.35,-0.08,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.08,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.08,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.08,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.08,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.08,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.08,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.08,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.08,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.15,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.15,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.35,-0.15,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.35,-0.15,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.02,0.22,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.45,-0.02,0.22,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.45,-0.02,0.22,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.45,-0.02,0.28,0.55,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.45,-0.02,0.28,0.65,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.45,-0.02,0.28,0.75,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.45,-0.02,0.34,0.55,improvement,abstain_keep_base,True,0,abstain,0.0
0.45,-0.02,0.34,0.65,improvement,abstain_keep_base,True,0,abstain,0.0
0.45,-0.02,0.34,0.75,improvement,abstain_keep_base,True,0,abstain,0.0
0.45,-0.08,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.08,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.08,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.08,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.08,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.08,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.08,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.08,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.08,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.15,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.15,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.45,-0.15,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.45,-0.15,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.55,-0.02,0.22,0.55,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.55,-0.02,0.22,0.65,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.55,-0.02,0.22,0.75,repair,repair_selected,False,32,provider_balance,-0.1183523320955559
0.55,-0.02,0.28,0.55,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.55,-0.02,0.28,0.65,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.55,-0.02,0.28,0.75,repair,repair_selected,False,6,explore_slot;tail_slot,-0.1159682252613417
0.55,-0.02,0.34,0.55,improvement,abstain_keep_base,True,0,abstain,0.0
0.55,-0.02,0.34,0.65,improvement,abstain_keep_base,True,0,abstain,0.0
0.55,-0.02,0.34,0.75,improvement,abstain_keep_base,True,0,abstain,0.0
0.55,-0.08,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.08,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.08,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.08,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.55,-0.08,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.55,-0.08,0.28,0.75,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.55,-0.08,0.34,0.55,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.55,-0.08,0.34,0.65,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.55,-0.08,0.34,0.75,improvement,improve_selected,True,1,repeat_cap,0.2985139280765191
0.55,-0.15,0.22,0.55,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.15,0.22,0.65,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.15,0.22,0.75,repair,repair_selected,False,5,repeat_cap;tail_slot,0.22362340323092178
0.55,-0.15,0.28,0.55,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
0.55,-0.15,0.28,0.65,repair,repair_selected,False,1,repeat_cap,0.2985139280765191
