objective,constraint_mode,penalty,mask,interventions,feasible,runtime_seconds,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
maximin,hard,0.0,1,repeat_cap,True,0.0006300000241026282,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,0.0,1,repeat_cap,True,0.0006420420249924064,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,0.25,1,repeat_cap,True,0.0006234999746084213,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,0.5,1,repeat_cap,True,0.0006222910014912486,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,1.0,1,repeat_cap,True,0.0006261669332161546,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,2.0,1,repeat_cap,True,0.0006691659800708294,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,5.0,1,repeat_cap,True,0.0006420830031856894,0.05,-0.041477531911315535,0.2442746913580247,0.0
maximin,penalty,10.0,1,repeat_cap,True,0.0006165830418467522,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,hard,0.0,1,repeat_cap,True,0.0008656659629195929,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,0.0,1,repeat_cap,True,0.0008789160056039691,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,0.25,1,repeat_cap,True,0.0008710409747436643,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,0.5,1,repeat_cap,True,0.0008727499516680837,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,1.0,1,repeat_cap,True,0.0008691248949617147,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,2.0,1,repeat_cap,True,0.0008693330455571413,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,5.0,1,repeat_cap,True,0.0008702500490471721,0.05,-0.041477531911315535,0.2442746913580247,0.0
mean,penalty,10.0,1,repeat_cap,True,0.0010415830183774233,0.05,-0.041477531911315535,0.2442746913580247,0.0
