stage,config_hash,embedding_dim,batch_size,learning_rate,weight_decay,negative_strategy,model,evaluated_users,candidate_coverage,cold_test_items,recall_at_k,ndcg_at_k,hit_rate_at_k
A,6d443b8fb846,64,4096,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.11,0.0544446169031393,0.11
A,e2dbd5178f3d,64,4096,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.103,0.0531195424856936,0.103
A,a9b215c81ad4,64,4096,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.108,0.0518070090118406,0.108
A,684c986ba65a,64,4096,0.01,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.099,0.0510907849079024,0.099
A,5f919f5c0413,64,4096,0.001,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.1,0.0498916657835107,0.1
A,1217cf0aadf9,64,4096,0.001,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.092,0.0470506322857608,0.092
A,dc2211dd2fca,64,4096,0.003,1e-05,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.084,0.0451300027044661,0.084
A,abb65a9cc9e4,64,4096,0.01,1e-05,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.08,0.0442698945945177,0.08
A,eced18c017ad,64,4096,0.001,1e-05,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.081,0.0425963210372372,0.081
A,5cb1e7cf0308,64,4096,0.003,0.001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0316131813381382,0.06
A,3b22b76d32b4,64,4096,0.003,0.0001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.064,0.0315372172050627,0.064
A,febc2969fa2c,64,4096,0.003,0.001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0313040909454832,0.06
A,84e627ed38fc,64,4096,0.001,0.0001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0312458917685115,0.06
A,2a0e8515dfcb,64,4096,0.01,0.0001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.062,0.0312098531326066,0.062
A,6bb0ece7d6a5,64,4096,0.01,0.001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.061,0.0312008155233833,0.061
A,2c582319f0fc,64,4096,0.01,0.001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.059,0.031193499360235,0.059
A,d58791785d29,64,4096,0.001,0.001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.061,0.0311188902680633,0.061
A,454285ef55eb,64,4096,0.01,0.001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.058,0.030976436694662,0.058
A,a783871e374a,64,4096,0.003,0.001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0308740855711397,0.06
A,5cd27de24fea,64,4096,0.003,0.0001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0308157567093833,0.06
A,91158ccab349,64,4096,0.001,0.001,uniform,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0307113866905194,0.06
A,1ad947d63f8d,64,4096,0.001,0.001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0305146252564015,0.06
A,e217fc5d704b,64,4096,0.001,0.0001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.06,0.0299592915885087,0.06
A,08b6ac371f54,64,4096,0.01,0.0001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.059,0.0298175460183177,0.059
A,4f7cdb235b0b,64,4096,0.01,0.0001,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.058,0.0297684061990524,0.058
A,ef6e109159c2,64,4096,0.003,0.0001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.061,0.0296205950855451,0.061
A,5c227d1fd827,64,4096,0.001,0.0001,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.059,0.0295658336134701,0.059
