stage,parent_config_hash,config_hash,embedding_dim,batch_size,learning_rate,weight_decay,negative_strategy,model,evaluated_users,candidate_coverage,cold_test_items,recall_at_k,ndcg_at_k,hit_rate_at_k
B,e2dbd5178f3d,9875430c235b,128,8192,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.11,0.05492172182737942,0.11
B,6d443b8fb846,4d645cfc2a79,64,8192,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.107,0.054605627935961,0.107
B,a9b215c81ad4,ccdf3fea8b6e,128,4096,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.107,0.05398979393086358,0.107
B,6d443b8fb846,e062e93def5f,32,8192,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.107,0.053726472050281596,0.107
B,a9b215c81ad4,addfc1afc217,128,8192,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.109,0.05364400124673538,0.109
B,e2dbd5178f3d,1e008f043ccf,128,4096,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.098,0.05322377640189915,0.098
B,e2dbd5178f3d,e2dbd5178f3d,64,4096,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.103,0.053119542485693644,0.103
B,6d443b8fb846,6eefc750dbed,128,4096,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.096,0.052839916996765206,0.096
B,a9b215c81ad4,c8585ca8e925,128,2048,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.098,0.0528062553791486,0.098
B,e2dbd5178f3d,30f6bf2c9704,64,8192,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.104,0.05279357823708441,0.104
B,6d443b8fb846,6d443b8fb846,64,4096,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.1,0.05232649311138218,0.1
B,a9b215c81ad4,cdf481970988,64,2048,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.095,0.05222915235604778,0.095
B,e2dbd5178f3d,a458807bd74f,32,2048,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.104,0.05190734752939758,0.104
B,a9b215c81ad4,02e85ca62a98,32,8192,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.103,0.05188950438545168,0.103
B,6d443b8fb846,0e1c2997db02,32,2048,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.092,0.05148652800314007,0.092
B,a9b215c81ad4,a9b215c81ad4,64,4096,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.101,0.05130563355829214,0.101
B,e2dbd5178f3d,ef6700f4f2dc,128,2048,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.105,0.05126570070057694,0.105
B,a9b215c81ad4,38f451133d65,64,8192,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.105,0.05126311854983778,0.105
B,a9b215c81ad4,49ebc96b1f29,32,4096,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.098,0.05110506957967185,0.098
B,6d443b8fb846,6188b6532575,128,8192,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.099,0.05048778728975886,0.099
B,a9b215c81ad4,3ff3c0a41541,32,2048,0.003,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.094,0.05038599868159276,0.094
B,e2dbd5178f3d,cd3cd7c3877a,64,2048,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.101,0.05036959125807807,0.101
B,e2dbd5178f3d,99812d8d6dfa,32,4096,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.1,0.050283932701859615,0.1
B,6d443b8fb846,1b4f9d54d376,32,4096,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.099,0.0500299567347639,0.099
B,6d443b8fb846,2ac158c72fa5,128,2048,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.091,0.04944604306378542,0.091
B,6d443b8fb846,2c1f4614f857,64,2048,0.01,1e-05,hard_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.097,0.04892751253154499,0.097
B,e2dbd5178f3d,f3d5fb5a87bf,32,8192,0.003,1e-05,popularity_mixture,torch_bpr_mf_bias,1000,0.999000999000999,1,0.094,0.04840682567382705,0.094
