point_id,seed,intervention,phi_lower,phi_upper,phi_mean,psi_feasible_lower,psi_feasible_upper,phi_psi_sign_agree
baseline,42,repeat_cap,0.2723047498969453,0.285993697676158,0.27701281295221025,0.27112487757639064,0.28393449663510284,True
baseline,42,explore_slot,-0.08823342657804287,-0.08667985191763246,-0.0873117317756574,-0.08868903359745782,-0.08719290287074116,True
baseline,42,tail_slot,-0.06930788519165587,-0.06638651589420311,-0.06772888378019948,-0.06975675285108505,-0.06668574972508172,True
baseline,42,diversify,-0.060288384451103585,-0.05840863842750645,-0.05946998001947932,-0.06154878055270282,-0.059685904007135075,True
baseline,42,novel_slot,-0.08406783191700427,-0.0803964005660939,-0.08306685654123912,-0.08459948805289443,-0.0805123602363717,True
baseline,42,provider_balance,-0.11942999907779536,-0.11815732158689095,-0.11875234074644851,-0.12023390350025841,-0.11882013259997837,True
baseline,43,repeat_cap,0.26757180258733104,0.28027387551879984,0.27540830066700744,0.2669959289962633,0.27922872859687087,True
baseline,43,explore_slot,-0.08786889432805935,-0.08640478184638914,-0.08740898704711589,-0.08848394790231891,-0.08681959706958849,True
baseline,43,tail_slot,-0.06770839509071858,-0.06621997138007482,-0.0670417151109711,-0.06766947632686716,-0.0664415825495221,True
baseline,43,diversify,-0.05979200799223375,-0.05934003074848283,-0.05952126711118809,-0.06092971624825439,-0.06009459539797313,True
baseline,43,novel_slot,-0.0863381417363278,-0.07947074563314992,-0.08238122304385812,-0.08686345674796954,-0.07943172125659521,True
baseline,43,provider_balance,-0.1184343081586265,-0.1153103494186791,-0.1175312034274938,-0.1197276592834433,-0.11637560276240091,True
baseline,44,repeat_cap,0.26269949124537145,0.2771898778391664,0.2717361738440945,0.26166781469448175,0.27569471181093985,True
baseline,44,explore_slot,-0.08813290028521997,-0.08746781663680428,-0.087713895004783,-0.08849522862329924,-0.08783750541217451,True
baseline,44,tail_slot,-0.06823119251156237,-0.06681953057732248,-0.06762411545857885,-0.06855971755692129,-0.0663880415281887,True
baseline,44,diversify,-0.059618475905326616,-0.05869834967603496,-0.05911252167092335,-0.06089064275715635,-0.05963146132464667,True
baseline,44,novel_slot,-0.08447544703739554,-0.08100507271830859,-0.08214919685580677,-0.08449557473496339,-0.0812220336235912,True
baseline,44,provider_balance,-0.11898805478007665,-0.11724701154744882,-0.11833867066273375,-0.12050251756326875,-0.11858293207262,True
baseline,45,repeat_cap,0.2654997860864,0.2837399245893431,0.2734717598341491,0.2652232260313609,0.28238731044742793,True
baseline,45,explore_slot,-0.08776977847868148,-0.08711433152192105,-0.08742103843174692,-0.08831341855999895,-0.0875827815976219,True
baseline,45,tail_slot,-0.06861757103007238,-0.06719202916019407,-0.06800588238370743,-0.06917971819403644,-0.0676873455086642,True
baseline,45,diversify,-0.059905905904939535,-0.059287997047956634,-0.05966927429247339,-0.061318431558147514,-0.06075565685047848,True
baseline,45,novel_slot,-0.08431462939076594,-0.08031785280444229,-0.08202127436001072,-0.08448575665835384,-0.08068956432774725,True
baseline,45,provider_balance,-0.11964985276329962,-0.11745440613673974,-0.11844836230451775,-0.12112424312388788,-0.11878142977645131,True
baseline,46,repeat_cap,0.26380658166675736,0.2804449358486336,0.2717940519976574,0.2623591929022466,0.2792667930152351,True
baseline,46,explore_slot,-0.08829585942587304,-0.08701992062598907,-0.08764173016750057,-0.08821951277396264,-0.08729752872897088,True
baseline,46,tail_slot,-0.06901180697919003,-0.06580158966644914,-0.06773703268197749,-0.06902756999965091,-0.06511866080335882,True
baseline,46,diversify,-0.05995960390543427,-0.05911153993290364,-0.05941291348204876,-0.06063045074559461,-0.059957596417067105,True
