point_id,varied_parameter,varied_value,is_baseline,config_hash,sweep_run_dir,recovered_seed_count,parameter_fatigue_strength,parameter_repeat_threshold,parameter_horizon,parameter_provider_threshold,parameter_provider_balance_strength,parameter_novelty_delayed_benefit,parameter_exploration_cost
baseline,baseline,,True,1aada97a740787be,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/baseline,5,1.0,3,12,0.28,0.35,0.0,0.1
lhs-001,joint_lhs,,False,069297af278b50e1,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-001,5,1.0767054846988626,1,17,0.32417850489719147,0.46834504485640793,0.06085918163882464,0.16087461323011945
lhs-002,joint_lhs,,False,93eccbe1c389e91d,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-002,5,1.3679438490749865,2,10,0.26203555417311464,0.38688279378172813,0.07020840920062082,0.06465633356925618
lhs-003,joint_lhs,,False,768e4245a7319c24,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-003,5,1.0477723672374784,1,10,0.25242925994820736,0.3278196611807248,0.05829812368051649,0.025139464610827278
lhs-004,joint_lhs,,False,ac4261f4e750d1db,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-004,5,0.7611712447073558,5,17,0.27781892513683953,0.4239060627437227,0.011494968215689787,0.07957314249867414
lhs-005,joint_lhs,,False,d7fa97922454eaf5,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-005,5,1.1293462760669273,3,9,0.2673166933264647,0.29729946938847135,0.031856730124560514,0.06705151264957251
lhs-006,joint_lhs,,False,bc4f57cc3729dcd6,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-006,5,0.870286711507075,2,11,0.34042086600560323,0.7955917736417697,0.005958146789433329,0.03744576546763297
lhs-007,joint_lhs,,False,4c0afd79d7336391,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-007,5,1.2420461621899486,5,8,0.34814340248798503,0.7375056328674494,0.007592606300867563,0.10011892969008113
lhs-008,joint_lhs,,False,69fd374f5f7be583,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-008,5,1.1848497571914287,4,6,0.25734256495643293,0.020907432007956098,0.0770121823452736,0.03388452232203537
lhs-009,joint_lhs,,False,b9dedc54492fc8e2,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-009,5,1.094093993168786,3,11,0.21337928759464633,0.3486192436263067,0.018867154420998483,0.1889309178986963
lhs-010,joint_lhs,,False,cb4d90a70c6ccae5,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-010,5,0.8967804554867953,2,15,0.20217483190085245,0.5269259187237295,0.02226219953668277,0.13345871002630022
lhs-011,joint_lhs,,False,d72bf018716e8a8d,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-011,5,1.3353996090304954,2,8,0.3061999490856631,0.18826727665850077,0.01523098168186292,0.0806165710201692
lhs-012,joint_lhs,,False,b0d5895a30d60e97,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-lhs-20260806T195446Z/lhs-012,5,1.3899774786498535,5,4,0.22462356872774344,0.6132510428054819,0.039027800231657736,0.17101464468590213
