point_id,varied_parameter,varied_value,is_baseline,config_hash,sweep_run_dir,recovered_seed_count,parameter_fatigue_strength,parameter_repeat_threshold,parameter_horizon,parameter_provider_threshold,parameter_provider_balance_strength,parameter_novelty_delayed_benefit,parameter_exploration_cost
baseline,baseline,,True,9798e91ec7ada5f2,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/baseline,5,1.0,3,12,0.28,0.35,0.0,0.1
oat-fatigue_strength-0p7500,fatigue_strength,0.75,False,aad136c8858c57bf,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-0p7500,5,0.75,3,12,0.28,0.35,0.0,0.1
oat-fatigue_strength-1p2500,fatigue_strength,1.25,False,23b22ca44e5e1491,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-fatigue_strength-1p2500,5,1.25,3,12,0.28,0.35,0.0,0.1
oat-repeat_threshold-2,repeat_threshold,2.0,False,0e8c4922cb348567,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-repeat_threshold-2,5,1.0,2,12,0.28,0.35,0.0,0.1
oat-repeat_threshold-4,repeat_threshold,4.0,False,409a3894e128ae19,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-repeat_threshold-4,5,1.0,4,12,0.28,0.35,0.0,0.1
oat-horizon-8,horizon,8.0,False,3dfc6af2b625c550,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-horizon-8,5,1.0,3,8,0.28,0.35,0.0,0.1
oat-horizon-16,horizon,16.0,False,cdfbd1be96de4893,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-horizon-16,5,1.0,3,16,0.28,0.35,0.0,0.1
oat-provider_threshold-0p2400,provider_threshold,0.24000000000000002,False,7796d9c704e67468,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-provider_threshold-0p2400,5,1.0,3,12,0.24000000000000002,0.35,0.0,0.1
oat-provider_threshold-0p3200,provider_threshold,0.32,False,7b1e304238e1cae7,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-provider_threshold-0p3200,5,1.0,3,12,0.32,0.35,0.0,0.1
oat-provider_balance_strength-0p1500,provider_balance_strength,0.14999999999999997,False,658db72cd92964cf,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-provider_balance_strength-0p1500,5,1.0,3,12,0.28,0.14999999999999997,0.0,0.1
oat-provider_balance_strength-0p5500,provider_balance_strength,0.55,False,21c3770675721213,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-provider_balance_strength-0p5500,5,1.0,3,12,0.28,0.55,0.0,0.1
oat-novelty_delayed_benefit-0p0300,novelty_delayed_benefit,0.03,False,a3c275a65d844cc7,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-novelty_delayed_benefit-0p0300,5,1.0,3,12,0.28,0.35,0.03,0.1
oat-novelty_delayed_benefit-0p0600,novelty_delayed_benefit,0.06,False,4c4f5115137005f7,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-novelty_delayed_benefit-0p0600,5,1.0,3,12,0.28,0.35,0.06,0.1
oat-exploration_cost-0p0500,exploration_cost,0.05,False,acdbadfb6d3ff042,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-exploration_cost-0p0500,5,1.0,3,12,0.28,0.35,0.0,0.05
oat-exploration_cost-0p1500,exploration_cost,0.15000000000000002,False,9d20c8c4af21855f,/Users/mlouhichi/Desktop/CURE-Rec/next-paper/paper-ideas/CURE-Rec/code/runs/calibration-oat-20260805T184133Z/oat-exploration_cost-0p1500,5,1.0,3,12,0.28,0.35,0.0,0.15000000000000002
