point_id,seed,intervention_i,intervention_j,interaction_lower,interaction_upper,interaction_mean
baseline,42,repeat_cap,explore_slot,-0.0213109814967592,-0.0192103105902075,-0.0204987844162507
baseline,42,repeat_cap,tail_slot,-0.0168520289252013,-0.0108162476996121,-0.013714791809663
baseline,42,repeat_cap,diversify,-0.0004986837769154,0.0032807080415303,0.0014554909648263
baseline,42,repeat_cap,novel_slot,-0.0130597641281344,-0.0059040350642223,-0.0086347136212493
baseline,42,repeat_cap,provider_balance,4.50781180395349e-06,0.0013570344854641,0.0007911843304972
baseline,42,explore_slot,tail_slot,-0.0009014884836699,0.0012971747562134,0.000336342494347
baseline,42,explore_slot,diversify,-0.0035656671104383,-0.0031043139923882,-0.0033437261870668
baseline,42,explore_slot,novel_slot,-0.0010527948454712,2.2624750365044573e-05,-0.0005463342200939
baseline,42,explore_slot,provider_balance,-0.0029265824765859,-0.0017712560991746,-0.0023530742362776
baseline,42,tail_slot,diversify,-0.0044864824872542,-0.003082225576161,-0.0035387346135676
baseline,42,tail_slot,novel_slot,-0.0042193035442872,-0.0010240303856958,-0.0030597807627956
baseline,42,tail_slot,provider_balance,-0.0089813312152229,-0.0044094369960079,-0.0074008327298731
baseline,42,diversify,novel_slot,0.0007014993771566,0.0014894654101407,0.0011769076357376
baseline,42,diversify,provider_balance,0.0006083273869617,0.002803750881173,0.0019726392130496
baseline,42,novel_slot,provider_balance,0.0020698676636761,0.005501414384233,0.0040428786317671
baseline,43,repeat_cap,explore_slot,-0.021975783991065,-0.0177531181224543,-0.02040271011533
baseline,43,repeat_cap,tail_slot,-0.0165334483910487,-0.0143361610680712,-0.0157790769922836
baseline,43,repeat_cap,diversify,-0.0004563975794567,0.0012705015424382,0.0005222745819459
baseline,43,repeat_cap,novel_slot,-0.014283966431699,-0.0078004110035592,-0.0109788057298837
baseline,43,repeat_cap,provider_balance,-0.0050448096991064,0.0022141087722477,-0.0003963768222916
baseline,43,explore_slot,tail_slot,-0.0007323444052538,0.0022969082041484,0.0004721825027064
baseline,43,explore_slot,diversify,-0.0037818625120918,-0.0030172325742007,-0.0033249835628331
baseline,43,explore_slot,novel_slot,-0.0010363854120257,0.0022101967316778,0.0002202043601812
baseline,43,explore_slot,provider_balance,-0.003649259109115,-0.0025876274456242,-0.0030680031697842
baseline,43,tail_slot,diversify,-0.0037376616924997,-0.002170105984048,-0.003010762594258
baseline,43,tail_slot,novel_slot,-0.0041259884929257,-0.0011191045993479,-0.0026752181986319
baseline,43,tail_slot,provider_balance,-0.0108418374569736,-0.0056872144022205,-0.0073469174728449
baseline,43,diversify,novel_slot,-0.0001590777208069,0.0016744699064995,0.0008007042503664
baseline,43,diversify,provider_balance,0.0014638920282977,0.002945507154594,0.0018967017446689
baseline,43,novel_slot,provider_balance,9.9272422607906e-06,0.005290532836291,0.0027857322556206
baseline,44,repeat_cap,explore_slot,-0.0209659398726178,-0.0190071069185862,-0.0202554923535674
baseline,44,repeat_cap,tail_slot,-0.0165780102242073,-0.0140127869420671,-0.0150472046637407
baseline,44,repeat_cap,diversify,-0.000506389213741,0.0021421499869923,0.0004817512804602
baseline,44,repeat_cap,novel_slot,-0.0151644464045323,-0.0066973437104502,-0.0112781730330661
