point_id,varied_parameter,varied_value,is_baseline,seed_count,selected_portfolio_mode,selected_portfolio_mode_frequency,selection_stability,repeat_cap_selection_rate,base_feasibility_rate,repair_rate,improvement_rate,feasible_selection_rate,lower_improvement_mean,lower_improvement_std,provider_disparity_upper_mean,fatigue_upper_mean,config_hash,recovered_seed_count,parameter_fatigue_strength,parameter_repeat_threshold,parameter_horizon,parameter_provider_threshold,parameter_provider_balance_strength,parameter_novelty_delayed_benefit,parameter_exploration_cost
baseline,baseline,,True,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,9798e91ec7ada5f2,5,1.0,3,12,0.28,0.35,0.0,0.1
oat-fatigue_strength-0p7500,fatigue_strength,0.75,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,aad136c8858c57bf,5,0.75,3,12,0.28,0.35,0.0,0.1
oat-fatigue_strength-1p2500,fatigue_strength,1.25,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,23b22ca44e5e1491,5,1.25,3,12,0.28,0.35,0.0,0.1
oat-repeat_threshold-2,repeat_threshold,2.0,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.2020570300647066,0.0017504658724754878,0.2250555555555555,0.2621374289422177,0e8c4922cb348567,5,1.0,2,12,0.28,0.35,0.0,0.1
oat-repeat_threshold-4,repeat_threshold,4.0,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.2122561174785659,0.002398148870151861,0.2250555555555555,0.0,409a3894e128ae19,5,1.0,4,12,0.28,0.35,0.0,0.1
oat-horizon-8,horizon,8.0,False,5,"('repeat_cap',)",5,1.0,1.0,0.6,0.4,0.6,1.0,0.14396917361875722,0.0022987399895131274,0.23962268518518512,0.0,3dfc6af2b625c550,5,1.0,3,8,0.28,0.35,0.0,0.1
oat-horizon-16,horizon,16.0,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.3778467538887853,0.0021975146656877096,0.21318287037037034,0.0,cdfbd1be96de4893,5,1.0,3,16,0.28,0.35,0.0,0.1
oat-provider_threshold-0p2400,provider_threshold,0.24000000000000002,False,5,"('repeat_cap',)",4,0.8,1.0,0.0,1.0,0.0,1.0,0.2799661493683382,0.033968683159684446,0.21954320987654316,0.0,7796d9c704e67468,5,1.0,3,12,0.24000000000000002,0.35,0.0,0.1
oat-provider_threshold-0p3200,provider_threshold,0.32,False,5,"('repeat_cap',)",5,1.0,1.0,0.6,0.4,0.6,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,7b1e304238e1cae7,5,1.0,3,12,0.32,0.35,0.0,0.1
oat-provider_balance_strength-0p1500,provider_balance_strength,0.14999999999999997,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,658db72cd92964cf,5,1.0,3,12,0.28,0.14999999999999997,0.0,0.1
oat-provider_balance_strength-0p5500,provider_balance_strength,0.55,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,21c3770675721213,5,1.0,3,12,0.28,0.55,0.0,0.1
oat-novelty_delayed_benefit-0p0300,novelty_delayed_benefit,0.03,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29501740607511523,0.002489793378328631,0.2250555555555555,0.0,a3c275a65d844cc7,5,1.0,3,12,0.28,0.35,0.03,0.1
oat-novelty_delayed_benefit-0p0600,novelty_delayed_benefit,0.06,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.2951298200173814,0.0025236086373014977,0.2250555555555555,0.0,4c4f5115137005f7,5,1.0,3,12,0.28,0.35,0.06,0.1
oat-exploration_cost-0p0500,exploration_cost,0.05,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,acdbadfb6d3ff042,5,1.0,3,12,0.28,0.35,0.0,0.05
oat-exploration_cost-0p1500,exploration_cost,0.15000000000000002,False,5,"('repeat_cap',)",5,1.0,1.0,0.2,0.8,0.2,1.0,0.29488167223532585,0.0024430841320536444,0.2250555555555555,0.0,9d20c8c4af21855f,5,1.0,3,12,0.28,0.35,0.0,0.15000000000000002
