seed,model,selected_config_hash,evaluated_users,candidate_coverage,cold_test_items,recall_at_k,ndcg_at_k,hit_rate_at_k,best_validation_epoch,restored_checkpoint_epoch
42,popularity,9875430c235b,1000,0.999000999000999,1,0.049,0.0255201428915041,0.049,,
42,torch_bpr_mf_bias_final,9875430c235b,1000,0.999000999000999,1,0.088,0.0435661738876777,0.088,22.0,22.0
43,popularity,9875430c235b,1000,0.999000999000999,1,0.049,0.0255201428915041,0.049,,
43,torch_bpr_mf_bias_final,9875430c235b,1000,0.999000999000999,1,0.09,0.0440124385867084,0.09,78.0,78.0
44,popularity,9875430c235b,1000,0.999000999000999,1,0.049,0.0255201428915041,0.049,,
44,torch_bpr_mf_bias_final,9875430c235b,1000,0.999000999000999,1,0.091,0.0464424462784155,0.091,24.0,24.0
45,popularity,9875430c235b,1000,0.999000999000999,1,0.049,0.0255201428915041,0.049,,
45,torch_bpr_mf_bias_final,9875430c235b,1000,0.999000999000999,1,0.082,0.0418432435229148,0.082,18.0,18.0
46,popularity,9875430c235b,1000,0.999000999000999,1,0.049,0.0255201428915041,0.049,,
46,torch_bpr_mf_bias_final,9875430c235b,1000,0.999000999000999,1,0.089,0.0433379273501188,0.089,56.0,56.0
