seed,model,selected_config_hash,evaluated_users,candidate_coverage,cold_test_items,recall_at_k,ndcg_at_k,hit_rate_at_k,best_validation_epoch,restored_checkpoint_epoch
42,popularity,7aa511398a7f,1000,0.999000999000999,1,0.049,0.025520142891504102,0.049,,
42,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.145,0.07512226549545664,0.145,20.0,20.0
43,popularity,7aa511398a7f,1000,0.999000999000999,1,0.049,0.025520142891504102,0.049,,
43,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.146,0.07401824563623162,0.146,48.0,48.0
44,popularity,7aa511398a7f,1000,0.999000999000999,1,0.049,0.025520142891504102,0.049,,
44,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.14,0.07104889237335084,0.14,42.0,42.0
45,popularity,7aa511398a7f,1000,0.999000999000999,1,0.049,0.025520142891504102,0.049,,
45,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.147,0.07844591938890151,0.147,44.0,44.0
46,popularity,7aa511398a7f,1000,0.999000999000999,1,0.049,0.025520142891504102,0.049,,
46,torch_sasrec_final,7aa511398a7f,1000,0.999000999000999,1,0.148,0.0725471813555763,0.148,60.0,60.0
