regime,intervention_i,intervention_j,interaction_lower,interaction_upper,interaction_mean
additive,repeat_cap,explore_slot,4.972873964466847e-18,4.972873964466847e-18,4.972873964466847e-18
additive,repeat_cap,tail_slot,3.4694469519536134e-19,3.4694469519536134e-19,3.4694469519536134e-19
additive,repeat_cap,diversify,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18
additive,repeat_cap,novel_slot,2.6599093298311044e-18,2.6599093298311044e-18,2.6599093298311044e-18
additive,repeat_cap,provider_balance,3.4694469519536134e-19,3.4694469519536134e-19,3.4694469519536134e-19
additive,explore_slot,tail_slot,4.972873964466847e-18,4.972873964466847e-18,4.972873964466847e-18
additive,explore_slot,diversify,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18
additive,explore_slot,novel_slot,7.28583859910259e-18,7.28583859910259e-18,7.28583859910259e-18
additive,explore_slot,provider_balance,4.972873964466847e-18,4.972873964466847e-18,4.972873964466847e-18
additive,tail_slot,diversify,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18
additive,tail_slot,novel_slot,2.6599093298311044e-18,2.6599093298311044e-18,2.6599093298311044e-18
additive,tail_slot,provider_balance,3.4694469519536134e-19,3.4694469519536134e-19,3.4694469519536134e-19
additive,diversify,novel_slot,1.2490009027033011e-17,1.2490009027033011e-17,1.2490009027033011e-17
additive,diversify,provider_balance,5.551115123125783e-18,5.551115123125783e-18,5.551115123125783e-18
additive,novel_slot,provider_balance,2.6599093298311044e-18,2.6599093298311044e-18,2.6599093298311044e-18
complementary,repeat_cap,explore_slot,0.25000000000000006,0.25000000000000006,0.25000000000000006
complementary,repeat_cap,tail_slot,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,repeat_cap,diversify,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,repeat_cap,novel_slot,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,repeat_cap,provider_balance,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,explore_slot,tail_slot,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,explore_slot,diversify,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,explore_slot,novel_slot,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,explore_slot,provider_balance,-1.7347234759768086e-19,-1.7347234759768086e-19,-1.7347234759768086e-19
complementary,tail_slot,diversify,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
complementary,tail_slot,novel_slot,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
complementary,tail_slot,provider_balance,-6.245004513516506e-18,-6.245004513516506e-18,-6.245004513516506e-18
