objective,constraint_mode,penalty,mask,interventions,feasible,runtime_seconds,cost,relevance_delta_lower,provider_disparity_upper,fatigue_upper
maximin,hard,0.0,1,repeat_cap,True,0.0010238109999818334,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,0.0,1,repeat_cap,True,0.0010032970000111163,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,0.25,1,repeat_cap,True,0.0010524630000077195,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,0.5,1,repeat_cap,True,0.0009361119999766743,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,1.0,1,repeat_cap,True,0.0009256349999873237,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,2.0,1,repeat_cap,True,0.000982876000023225,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,5.0,1,repeat_cap,True,0.0009328749999895081,0.05,-0.03932083801222208,0.22428385416666674,0.0
maximin,penalty,10.0,1,repeat_cap,True,0.0009265260000006492,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,hard,0.0,1,repeat_cap,True,0.0012878839999643787,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,0.0,1,repeat_cap,True,0.0014106570000080865,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,0.25,1,repeat_cap,True,0.0012927459999900748,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,0.5,1,repeat_cap,True,0.001304644000015287,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,1.0,1,repeat_cap,True,0.0013822749999690132,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,2.0,1,repeat_cap,True,0.0013148079999609763,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,5.0,1,repeat_cap,True,0.0012921470000151203,0.05,-0.03932083801222208,0.22428385416666674,0.0
mean,penalty,10.0,1,repeat_cap,True,0.0015303979999998774,0.05,-0.03932083801222208,0.22428385416666674,0.0
