masked-forward faithfulness: amazon seed=42, 1000 users, fractions=[0.1, 0.2, 0.3]
unmasked reference: NDCG@20=0.01723 HR@20=0.04300
  loo-marginal | deletion | frac=0.1: NDCG@20=0.00185 (27s)
  loo-marginal | insertion | frac=0.1: NDCG@20=0.00136 (26s)
  loo-marginal | deletion | frac=0.2: NDCG@20=0.00162 (25s)
  loo-marginal | insertion | frac=0.2: NDCG@20=0.00136 (25s)
  loo-marginal | deletion | frac=0.3: NDCG@20=0.00162 (25s)
  loo-marginal | insertion | frac=0.3: NDCG@20=0.00159 (26s)
  shapley-mc | deletion | frac=0.1: NDCG@20=0.00185 (25s)
  shapley-mc | insertion | frac=0.1: NDCG@20=0.00136 (24s)
  shapley-mc | deletion | frac=0.2: NDCG@20=0.00162 (24s)
  shapley-mc | insertion | frac=0.2: NDCG@20=0.00136 (24s)
  shapley-mc | deletion | frac=0.3: NDCG@20=0.00162 (24s)
  shapley-mc | insertion | frac=0.3: NDCG@20=0.00159 (24s)
  uniform | deletion | frac=0.1: NDCG@20=0.00185 (24s)
  uniform | insertion | frac=0.1: NDCG@20=0.00159 (25s)
  uniform | deletion | frac=0.2: NDCG@20=0.00185 (24s)
  uniform | insertion | frac=0.2: NDCG@20=0.00136 (25s)
  uniform | deletion | frac=0.3: NDCG@20=0.00162 (24s)
  uniform | insertion | frac=0.3: NDCG@20=0.00159 (25s)
  random | deletion | frac=0.1: NDCG@20=0.00185 (24s)
  random | insertion | frac=0.1: NDCG@20=0.00132 (24s)
  random | deletion | frac=0.2: NDCG@20=0.00162 (24s)
  random | insertion | frac=0.2: NDCG@20=0.00136 (25s)
  random | deletion | frac=0.3: NDCG@20=0.00162 (24s)
  random | insertion | frac=0.3: NDCG@20=0.00158 (25s)
SAVED masked_forward_faithfulness.csv
