family,fraction,NDCG20,HitRate20,mode,seconds
unmasked-reference,0.0,0.017232535406947136,0.0430000014603138,,
loo-marginal,0.1,0.001854265690781176,0.004000000189989805,deletion,26.5
loo-marginal,0.1,0.0013562071835622191,0.0020000000949949026,insertion,26.0
loo-marginal,0.2,0.0016188566805794835,0.003000000026077032,deletion,24.8
loo-marginal,0.2,0.0013562071835622191,0.0020000000949949026,insertion,25.4
loo-marginal,0.3,0.0016188566805794835,0.003000000026077032,deletion,25.1
loo-marginal,0.3,0.0015916161937639117,0.003000000026077032,insertion,25.8
shapley-mc,0.1,0.001854265690781176,0.004000000189989805,deletion,24.5
shapley-mc,0.1,0.0013562071835622191,0.0020000000949949026,insertion,24.5
shapley-mc,0.2,0.0016188566805794835,0.003000000026077032,deletion,24.4
shapley-mc,0.2,0.0013562071835622191,0.0020000000949949026,insertion,24.3
shapley-mc,0.3,0.0016188566805794835,0.003000000026077032,deletion,24.3
shapley-mc,0.3,0.0015916161937639117,0.003000000026077032,insertion,24.3
uniform,0.1,0.001854265690781176,0.004000000189989805,deletion,24.4
uniform,0.1,0.0015916161937639117,0.003000000026077032,insertion,24.6
uniform,0.2,0.0018502350430935621,0.004000000189989805,deletion,24.4
uniform,0.2,0.0013562071835622191,0.0020000000949949026,insertion,24.6
uniform,0.3,0.0016188566805794835,0.003000000026077032,deletion,24.3
uniform,0.3,0.0015916161937639117,0.003000000026077032,insertion,24.5
random,0.1,0.001854265690781176,0.004000000189989805,deletion,24.3
random,0.1,0.0013154648477211595,0.0020000000949949026,insertion,24.4
random,0.2,0.0016188566805794835,0.003000000026077032,deletion,24.3
random,0.2,0.0013562071835622191,0.0020000000949949026,insertion,24.6
random,0.3,0.0016188566805794835,0.003000000026077032,deletion,24.4
random,0.3,0.0015838774852454662,0.003000000026077032,insertion,24.5
