contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_reject_0.05,holm_threshold
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,0.0025893454763381424,0.002118988830780639,0.003058632110334367,0.0,0.028124578670621545,0.01679924497775381,0.9550761763516247,0.057304495035294244,0.0,< 0.0005,5,37085,True,0.005
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,0.004098692193609276,0.0029391937441013887,0.00523122556289605,0.0,0.00854793043009303,0.004449238236483754,0.9870028313334233,0.03597459582539077,0.0,< 0.0005,5,37085,True,0.005555555555555556
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,0.0026846443195362004,0.0022090447299177563,0.0031582144412026416,0.0,0.027989753269515978,0.0165835243359849,0.9554267223944991,0.05924047975442452,0.0,< 0.0005,5,37085,True,0.00625
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,0.0043413779155993,0.003181879466091412,0.005447620331670483,0.0,0.008601860590535257,0.004260482674935958,0.9871376567345288,0.038307174041882996,0.0,< 0.0005,5,37085,True,0.0071428571428571435
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,0.0028317296632061483,0.0023632175835647837,0.0033060695022043935,0.0,0.027747067547525955,0.016125117972225968,0.9561278144802481,0.06168653311074288,0.0,< 0.0005,5,37085,True,0.008333333333333333
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,0.004853714439800458,0.003721181070513685,0.006013212889308346,0.0,0.008979371713630849,0.004125657273830389,0.9868949710125388,0.042436551433980764,0.0,< 0.0005,5,37085,True,0.01
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,0.0024154950006741267,0.0019362517065659973,0.0028580854736281504,0.0,0.027774032627747067,0.016907105298638262,0.9553188620736147,0.054411459747191145,0.0,< 0.0005,5,37085,True,0.0125
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,0.0040177969529459345,0.0028313334232169343,0.005123365242011594,0.0,0.008440070109208575,0.00442227315626264,0.9871376567345288,0.03544824840062201,0.0,< 0.0005,5,37085,True,0.016666666666666666
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,0.0004935586692732911,0.0002810675247539436,0.0007092814898813536,0.0,0.01628690845355265,0.010354590804907644,0.9733585007415397,0.022824823721237758,0.0,< 0.0005,5,37085,True,0.025
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,0.0007010920857489551,5.39301604422273e-05,0.0013752190912767967,0.0,0.0024538223001213427,0.0017527302143723878,0.9957934474855062,0.010810142689424804,0.036,0.036,5,37085,True,0.05
