contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,42,0.0021538027423486585,0.0,0.02669542941890252,0.016044222731562627,0.9572603478495348,7417
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,43,0.002744474505864905,0.0,0.028313334232169342,0.01590939733045706,0.9557772684373737,7417
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,44,0.002251902510448969,0.0,0.027504381825535933,0.018471079951462854,0.9540245382230013,7417
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,45,0.003175796814075772,0.0,0.030200889847647298,0.016988000539301603,0.952811109613051,7417
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,46,0.0026207508089524066,0.0,0.027908858028852637,0.0165835243359849,0.9555076176351625,7417
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,42,0.0025616826210057976,0.0,0.007819873264122961,0.005258190643117163,0.9869219360927599,7417
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,43,0.00471888903869489,0.0,0.00795469866522853,0.003235809626533639,0.9888094917082378,7417
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,44,0.0031009842254280705,0.0,0.00862882567075637,0.0055278414453283,0.9858433328839153,7417
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,45,0.004988539840906026,0.0,0.009033301874073075,0.0040447620331670485,0.9869219360927599,7417
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,46,0.005123365242011595,0.0,0.009302952676284212,0.004179587434272617,0.9865174598894432,7417
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,42,0.0023380151206687343,0.0,0.02683025482000809,0.01590939733045706,0.9572603478495348,7417
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,43,0.0028318252312255626,0.0,0.02817850883106377,0.015504921127140353,0.9563165700417958,7417
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,44,0.0023831623904543614,0.0,0.027908858028852637,0.018471079951462854,0.9536200620196845,7417
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,45,0.0032665576028043683,0.0,0.029796413644330593,0.01644869893487933,0.9537548874207901,7417
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,46,0.002603661252527976,0.0,0.027234731023324795,0.0165835243359849,0.9561817446406903,7417
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,42,0.0028313334232169343,0.0,0.007550222461911824,0.00471888903869489,0.9877308884993933,7417
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,43,0.004988539840906026,0.0,0.00795469866522853,0.002966158824322502,0.9890791425104489,7417
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,44,0.003370635027639207,0.0,0.008763651071861939,0.005393016044222732,0.9858433328839153,7417
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,45,0.005393016044222732,0.0,0.009168127275178644,0.003775111230955912,0.9870567614938655,7417
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,46,0.005123365242011595,0.0,0.009572603478495348,0.004449238236483754,0.9859781582850209,7417
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,42,0.0027356572225967373,0.0,0.027774032627747067,0.015639746528245922,0.956586220844007,7417
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,43,0.0029922971295672104,0.0,0.028043683429958204,0.015235270324929216,0.9567210462451126,7417
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,44,0.0025662165161116353,0.0,0.026965080221113658,0.017931778347040583,0.9551031414318457,7417
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,45,0.0032358539894836186,0.0,0.028852635836591613,0.01590939733045706,0.9552379668329514,7417
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,46,0.0026286234582715384,0.0,0.027099905622219225,0.01590939733045706,0.9569906970473238,7417
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,42,0.003640285829850344,0.0,0.008359174868545234,0.00471888903869489,0.9869219360927599,7417
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,43,0.005932317648645004,0.0,0.008359174868545234,0.0024268572199002292,0.9892139679115546,7417
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,44,0.003775111230955912,0.0,0.009033301874073075,0.005258190643117163,0.9857085074828098,7417
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,45,0.0055278414453283,0.0,0.00943777807738978,0.0039099366320614806,0.9866522852905487,7417
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,46,0.005393016044222732,0.0,0.009707428879600917,0.004314412835378185,0.9859781582850209,7417
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,42,0.0020129687973574222,0.0,0.02669542941890252,0.016179048132668194,0.9571255224484293,7417
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,43,0.002671117679654847,0.0,0.027908858028852637,0.01577457192935149,0.9563165700417958,7417
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,44,0.0020011387515167854,0.0,0.02683025482000809,0.018471079951462854,0.9546986652285291,7417
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,45,0.0028216605554806525,0.0,0.030200889847647298,0.017392476742618308,0.9524066334097344,7417
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,46,0.0025705892193609273,0.0,0.027234731023324795,0.01671834973709047,0.9560469192395847,7417
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,42,0.0025616826210057976,0.0,0.007415397060806256,0.0048537144398004585,0.9877308884993933,7417
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,43,0.004584063637589322,0.0,0.00795469866522853,0.003370635027639207,0.9886746663071323,7417
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,44,0.0028313334232169343,0.0,0.008359174868545234,0.0055278414453283,0.9861129836861264,7417
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,45,0.004314412835378185,0.0,0.008494000269650802,0.004179587434272617,0.9873264122960765,7417
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,46,0.0057974922475394364,0.0,0.009977079681812053,0.004179587434272617,0.9858433328839153,7417
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,42,0.00025859454900903334,0.0,0.015504921127140353,0.010111905082917622,0.974383173789942,7417
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,43,0.0008161168882297424,0.0,0.016044222731562627,0.009572603478495348,0.974383173789942,7417
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,44,9.779969529459348e-05,0.0,0.01644869893487933,0.012269111500606715,0.971282189564514,7417
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,45,0.0007746898651745988,0.0,0.0165835243359849,0.009302952676284212,0.9741135229877309,7417
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,46,0.0005205923486584873,0.0,0.016853175138196036,0.010516381286234326,0.9726304435755696,7417
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,42,0.00026965080221113657,0.0,0.0020223810165835242,0.0017527302143723878,0.9962248887690441,7417
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,43,0.001348254011055683,0.0,0.0024268572199002292,0.0010786032088445463,0.9964945395712552,7417
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,44,-0.000943777807738978,0.0,0.0017527302143723878,0.002696508022111366,0.9955507617635162,7417
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,45,0.001483079412161251,0.0,0.0028313334232169343,0.001348254011055683,0.9958204125657274,7417
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,46,0.001348254011055683,0.0,0.003235809626533639,0.001887555615477956,0.9948766347579884,7417
