,,DeletionDelta_HitRate@20,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_HitRate@20,Insertion_NDCG@20,Insertion_NDCG@20
,,mean,std,mean,std,mean,std,mean,std
family,fraction,,,,,,,,
loo-marginal,0.05,0.00013482540380208003,0.0003437386778912366,0.0015208405675365799,0.0001115557964318982,0.0635836593806743,0.0021030172349253296,0.0255036517977714,0.0007534878308855049
loo-marginal,0.1,0.00021572064724747998,0.0001808872644849433,0.00170984892174596,5.371305886242022e-05,0.06355669423937792,0.002081295686634702,0.025587797164916957,0.0007194843590560399
loo-marginal,0.2,0.00088984764297488,0.0004631404609508975,0.00250385100953276,0.00017912158900569477,0.06412296220660206,0.0022125338931653893,0.026269287988543437,0.0007571176476182852
loo-marginal,0.3,0.0014561143238096999,0.0003218912382583962,0.00338758043944832,0.0001448160864884198,0.06471619382500646,0.0023546248833141966,0.027158707380294737,0.000735708546469846
random,0.05,0.00040447619685434,0.0005308081193342775,0.0011564439977518799,0.00025751459191054605,0.0639611698687076,0.002094355352537717,0.025295223295688556,0.0007140429686619421
random,0.1,0.00062019684410184,0.0005767628262923724,0.00127838475164018,0.0002527261227721804,0.06393420621752735,0.0021601539291504707,0.02534119524061672,0.0007767388164354953
random,0.2,0.00107860320713364,0.00034373868359900185,0.0018962547415867,0.00019274323053879272,0.06417689025402065,0.0020778000565630657,0.025772896781563703,0.0008834709427472766
random,0.3,0.00132128892000756,0.00045121210090725617,0.00243299864232536,0.00018960370554960926,0.06439261138439172,0.0020371590873111173,0.02616623714566226,0.0008251533199285387
uniform,0.05,0.00067412701901046,0.0003302534395212946,0.00101588284596796,8.419733473342981e-05,0.06428475156426425,0.001952409013837088,0.02535234391689294,0.0006624816267185239
uniform,0.1,0.0008089524228125399,0.0004155597969670294,0.00109370069112622,0.00010542368519204421,0.06420385614037509,0.001959379471670772,0.025358982756733837,0.0006693822981754072
uniform,0.2,0.00110556827858086,0.00025934182085520917,0.00152930447366084,9.8882631345179e-05,0.06433868184685702,0.0018861097833669808,0.02550649493932718,0.0006615317261774133
uniform,0.3,0.00148307939525688,0.00045721519449632174,0.00208368352614336,0.00013004216234891664,0.0648779839277267,0.0019870181339815933,0.02602814175188538,0.0006783017866081644
