contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_threshold,holm_reject_0.05
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,0.0028357607838748818,0.0023647010170823783,0.00331437774400701,0.0,0.02906835647836052,0.015882432250235945,0.9550492112714035,0.06156967790216584,0.0,< 0.0005,5,37085,0.004166666666666667,True
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,0.0048267493595793454,0.003721181070513685,0.005986247809087232,0.0,0.008925441553188621,0.004098692193609276,0.9869758662532021,0.04233146008062533,0.0,< 0.0005,5,37085,0.004545454545454546,True
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,0.002924557478495348,0.0024493275036065795,0.0034102149621342854,0.0,0.029311042200350548,0.0159902925711204,0.9546986652285291,0.06233697057749514,0.0,< 0.0005,5,37085,0.005,True
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,0.00501550492112714,0.0038829715518403666,0.006228933531077255,0.0,0.009222057435620871,0.00420655251449373,0.9865713900498854,0.04332119526093866,0.0,< 0.0005,5,37085,0.005555555555555556,True
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,0.0029990419716866656,0.0024953492604759334,0.003499241973392206,0.0,0.029230146959687207,0.0159902925711204,0.9547795604691924,0.06332060221172317,0.0,< 0.0005,5,37085,0.00625,True
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,0.00501550492112714,0.0038829715518403666,0.006228933531077256,0.0,0.009329917756505325,0.004314412835378185,0.9863556694081165,0.04297673320930648,0.0,< 0.0005,5,37085,0.0071428571428571435,True
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,0.0026725880213024134,0.00220562003603883,0.0031437039351759465,0.0,0.029095321558581636,0.015882432250235945,0.9550222461911824,0.05933770828112088,0.0,< 0.0005,5,37085,0.008333333333333333,True
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,0.004584063637589322,0.003451530268302548,0.0057165970068760955,0.0,0.008790616152083052,0.00420655251449373,0.9870028313334233,0.040241278468365366,0.0,< 0.0005,5,37085,0.01,True
loo-marginal_vs_valid-sim_NDCG@20,NDCG@20,loo-marginal,valid-sim,0.0019038750896588914,0.0015030515943508158,0.0023160143203114466,0.0,0.027396521504651477,0.01585546717001483,0.9567480113253337,0.04722697765256412,0.0,< 0.0005,5,37085,0.0125,True
loo-marginal_vs_valid-sim_HitRate@20,HitRate@20,loo-marginal,valid-sim,0.003640285829850344,0.0025616826210057976,0.0047458541189160045,0.0,0.00773897802345962,0.004098692193609276,0.9881623297829311,0.033476475880571156,0.0,< 0.0005,5,37085,0.016666666666666666,True
loo-marginal_vs_valid-linear_NDCG@20,NDCG@20,loo-marginal,valid-linear,0.0007551510165835242,0.00036918405531212076,0.0011339765077187538,0.0,0.022327086423082107,0.021140622893353108,0.9565322906835648,0.01999160598531961,0.001,0.001,5,37085,0.025,True
loo-marginal_vs_valid-linear_HitRate@20,HitRate@20,loo-marginal,valid-linear,0.0009168127275178643,-8.089524066334104e-05,0.0019414857759201833,0.0,0.005608736685991641,0.004691923958473777,0.9896993393555346,0.009033581324333536,0.077,0.077,5,37085,0.05,False
