contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_threshold,holm_reject_0.05
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,0.0028388590484023186,0.0023565284457192936,0.003313258312855602,0.0,0.029095321558581636,0.01569367668868815,0.9552110017527302,0.06166525302985812,0.0,< 0.0005,5,37085,0.004166666666666667,True
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,0.004772819199137117,0.003640285829850344,0.005932317648645005,0.0,0.008871511392746393,0.004098692193609276,0.9870297964136443,0.04194473413274849,0.0,< 0.0005,5,37085,0.004545454545454546,True
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,0.002916896688418498,0.002440415902184171,0.00339595460653229,0.0,0.02933800728057166,0.01582850208979372,0.9548334906296346,0.06252746187665101,0.0,< 0.0005,5,37085,0.005,True
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,0.004907644600242686,0.003774437103950384,0.0061210732101928,0.0,0.009087232034515303,0.004179587434272617,0.9867331805312121,0.04264601086617894,0.0,< 0.0005,5,37085,0.005555555555555556,True
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,0.0029880059104759335,0.002496011925940407,0.0034800021728933522,0.0,0.029203181879466092,0.01582850208979372,0.9549683160307402,0.06349221795746376,0.0,< 0.0005,5,37085,0.00625,True
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,0.0049076446002426855,0.003774437103950384,0.0061210732101928,0.0,0.00914116219495753,0.004233517594714844,0.9866253202103277,0.04247339156545344,0.0,< 0.0005,5,37085,0.0071428571428571435,True
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,0.0026986432331131184,0.0022365509987259,0.0031701308946743964,0.0,0.02912228663880275,0.015720641768909263,0.955157071592288,0.059919019455872254,0.0,< 0.0005,5,37085,0.008333333333333333,True
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,0.004584063637589321,0.0035054604287447755,0.0057165970068760955,0.0,0.008736685991640826,0.004152622354051503,0.9871106916543076,0.04040957504478093,0.0,< 0.0005,5,37085,0.01,True
loo-marginal_vs_valid-sim_NDCG@20,NDCG@20,loo-marginal,valid-sim,0.0019388037484158013,0.001535012137515168,0.002342870518680059,0.0,0.02742348658487259,0.015720641768909263,0.9568558716462181,0.04806710800436734,0.0,< 0.0005,5,37085,0.0125,True
loo-marginal_vs_valid-sim_HitRate@20,HitRate@20,loo-marginal,valid-sim,0.003586355669408116,0.0025347175407846837,0.004691923958473776,0.0,0.007685047863017392,0.004098692193609276,0.9882162599433734,0.03305544977910112,0.0,< 0.0005,5,37085,0.016666666666666666,True
loo-marginal_vs_valid-linear_NDCG@20,NDCG@20,loo-marginal,valid-linear,0.0007540712468653095,0.00037021819484966967,0.0011310895171969797,0.0,0.022381016583524337,0.02100579749224754,0.9566131859242282,0.020022902380538332,0.001,0.001,5,37085,0.025,True
loo-marginal_vs_valid-linear_HitRate@20,HitRate@20,loo-marginal,valid-linear,0.000862882567075637,-0.00013482540110556834,0.0018612646622623665,0.0,0.005554806525549414,0.004691923958473777,0.9897532695159769,0.008524500924131793,0.086,0.086,5,37085,0.05,False
