,,NDCG@20,NDCG@20,HitRate@20,HitRate@20,ValNDCG@20,ValNDCG@20
,,mean,std,mean,std,mean,std
family,lambda_attr,,,,,,
additive-pref,0.0,0.029544189572334262,0.0008895848535660812,0.06636106222867962,0.0022608915307484358,0.04699022620916362,0.0012296974056422599
additive-pref,0.05,0.029482693225145278,0.0009006500192366667,0.06628016680479046,0.0022991604413966555,0.047022257745265916,0.001153472357975914
additive-pref,0.1,0.02948416285216804,0.0009507639350429346,0.06633409708738322,0.0023680980813505425,0.04712608307600016,0.0011793274147375952
additive-pref,0.2,0.02946062088012692,0.000960652247335328,0.06622623652219765,0.002290843795912883,0.04715683981776232,0.0012093176380763493
additive-pref,0.4,0.029422633722424478,0.0009051464141561574,0.06630713194608684,0.0024922673535637064,0.04708448126912112,0.0010811958301780527
loo-marginal,0.0,0.029544189572334262,0.0008895848535660812,0.06636106222867962,0.0022608915307484358,0.04699022620916362,0.0012296974056422599
loo-marginal,0.05,0.03116879053413864,0.0012531410635845323,0.06905756890773772,0.003268507456751216,0.052199597656726784,0.00171454537217271
loo-marginal,0.1,0.03250364996492858,0.0009980671199678064,0.07137656658887861,0.002098689613739407,0.056959315389394714,0.0017924810613674997
loo-marginal,0.2,0.03448861613869664,0.0013328047573466142,0.07488202750682828,0.0029501827437253985,0.0650077104568481,0.0020092008897811143
loo-marginal,0.4,0.036832755059003804,0.0011991847598359453,0.07898072153329846,0.0027555228167421364,0.0774844333529472,0.002098946677593499
uniform,0.0,0.029544189572334262,0.0008895848535660812,0.06636106222867962,0.0022608915307484358,0.04699022620916362,0.0012296974056422599
uniform,0.05,0.029542492702603264,0.0009543946427463912,0.06641499251127239,0.002407305843596125,0.0471403487026691,0.0012316177619863856
uniform,0.1,0.02959247753024096,0.0008946181622741556,0.06652285307645792,0.0021458020002580974,0.04716396331787104,0.0011012086521996745
uniform,0.2,0.02970471717417238,0.0009381481055806397,0.06684643477201455,0.002248799102643151,0.04731456041336054,0.0010733498141575401
uniform,0.4,0.029737802967429117,0.0008737653739759091,0.06690036505460736,0.0020742981482076987,0.047359494119882564,0.0010580288801061814
