,,DeletionDelta_HitRate@20,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_HitRate@20,Insertion_NDCG@20,Insertion_NDCG@20
,,mean,std,mean,std,mean,std,mean,std
family,fraction,,,,,,,,
loo-marginal,0.05,0.00016179048398042,0.0003218912355155583,0.00155791023280466,0.00011589704816811612,0.06361062452197068,0.002119805468954193,0.025531005859374938,0.0007624964757295496
loo-marginal,0.1,0.00021572064724747998,0.00022560605306253074,0.00174009541515254,8.719256022110003e-05,0.06358365938067431,0.002098690846249678,0.02561592459678646,0.0007279568160792557
loo-marginal,0.2,0.00086288256279654,0.0005098468477765013,0.00254930402152236,0.00021178265842814272,0.06409599706530568,0.0022063633248025362,0.026309375464916178,0.0007691186785885164
loo-marginal,0.3,0.0011594984447583002,0.0002795799292214819,0.00322858970612284,0.00015578024253744155,0.0643656469881534,0.0024577460092800067,0.026987466961145363,0.0008016446716939514
random,0.05,-0.00010786032653413999,0.0004898450237229883,0.00094886018196116,0.000281924021304226,0.06326007843017571,0.0022346055914659376,0.02505957931280132,0.0006844763974573747
random,0.1,-2.9103799882232438e-12,0.000522176542631825,0.00108423476340244,0.00029446028079512746,0.0633949033915996,0.002174830602071309,0.025166596844792322,0.0006500554807639396
random,0.2,0.0005123365350300001,0.0003741253130408008,0.0016217053867876,0.00016658700199076936,0.06371848508715625,0.0018841814216336442,0.025564756616949978,0.0006404212526361753
random,0.3,0.000808952411171,0.00021317767202985182,0.0023119126446544797,0.00017994153824478132,0.06409599557518955,0.0020527138425140866,0.02602346241474146,0.0007480761273116993
uniform,0.05,8.089524053501999e-05,0.00015372460877585573,0.0014001290546729601,8.104667919956639e-05,0.06385330930352208,0.0020371575093827963,0.02533614598214622,0.0006933348282617809
uniform,0.1,0.00040447621431664003,0.00025223524025311033,0.0015312374802305601,7.251950620726918e-05,0.06390723958611484,0.001992954365569316,0.025373267382383317,0.0006852051730340847
uniform,0.2,0.00075502225081432,0.0003103913773071146,0.0018520514713599799,9.466553976531388e-05,0.06393420621752732,0.001989302673840339,0.025564086809754322,0.0006423029110675795
uniform,0.3,0.0012673587771132,0.00042207025306690763,0.0025268843863159,0.00014103807183760912,0.06458136737346644,0.0020335865775274516,0.02610863298177716,0.0006508574827363575
