,,NDCG@20,NDCG@20,HitRate@20,HitRate@20
,,mean,std,mean,std
family,lambda_attr,,,,
additive-pref,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
additive-pref,0.05,0.02942197322845454,0.0007961396108441333,0.06636106222867963,0.002548163994889432
additive-pref,0.1,0.029375682771205842,0.0008079866014459725,0.06619927138090129,0.002586399278982124
additive-pref,0.2,0.029280691593885362,0.0008014903652383431,0.06601051539182659,0.00258393826394678
additive-pref,0.4,0.02923045270144936,0.0008200642940674522,0.06590265631675714,0.0024443966538191322
attention,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
attention,0.05,0.029370734840631442,0.0007924410761311574,0.06628016680479044,0.0027359924448068997
attention,0.1,0.02930457219481466,0.0006848464664100237,0.06619927138090129,0.002509708420883665
attention,0.2,0.02910149730741974,0.0007831428182557167,0.0655251450836658,0.0027216700895415762
attention,0.4,0.028863818570971422,0.0007223359948451953,0.06512066796422,0.0024417908666229263
heuristic-pop,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
heuristic-pop,0.05,0.02953809238970278,0.0007684378779974895,0.06649588793516155,0.0024629166506125112
heuristic-pop,0.1,0.0295939359813928,0.0007599917120818859,0.06652285307645792,0.0022793060835688194
heuristic-pop,0.2,0.029867306351661637,0.0006909836846130937,0.06714305132627482,0.00234107446830258
heuristic-pop,0.4,0.0299546085298061,0.0006072146404531781,0.06717001497745509,0.0021976939051320506
loo-marginal,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
loo-marginal,0.05,0.03100243657827372,0.0006626469397735017,0.0688957795500755,0.0022761148185939683
loo-marginal,0.1,0.03229257911443706,0.000806224555191207,0.07110691666603083,0.00265335337247514
loo-marginal,0.2,0.03430195078253742,0.0009670965549819753,0.07450451701879496,0.0033225652857172697
loo-marginal,0.4,0.037129435688257204,0.0010818999965995797,0.07954698652029034,0.002350760322043491
shapley-mc,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
shapley-mc,0.05,0.030688379704952178,0.0006187150105385539,0.06811379194259638,0.0022669141538490226
shapley-mc,0.1,0.031665881350636436,0.0006802200149605802,0.0698395580053329,0.0022459655769060697
shapley-mc,0.2,0.033248003572225536,0.0009165477351623613,0.07248213440179821,0.0030187051967637307
shapley-mc,0.4,0.03549619093537326,0.0008567555552404634,0.07593366503715508,0.002322364314107462
uniform,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
uniform,0.05,0.029444557800888938,0.0008043388713303908,0.06636106222867963,0.0025853448395588676
uniform,0.1,0.029453720152378036,0.0007958502777828212,0.06633409708738323,0.002593418048170382
uniform,0.2,0.029444069415330842,0.0008222919414850729,0.06630713194608684,0.002461070853035158
uniform,0.4,0.02946575619280332,0.0007757496876352534,0.06644195765256876,0.002324320177994696
valid-linear,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
valid-linear,0.05,0.03047188296914094,0.0006580314774078682,0.0684913024306297,0.0022940139580581486
valid-linear,0.1,0.031538505852222384,0.0005802159383225585,0.0702440351247787,0.0018754772223236208
valid-linear,0.2,0.03334830179810518,0.0005638564338793194,0.07404610961675637,0.0018446957562660762
valid-linear,0.4,0.03743813484907144,0.0007931291977528582,0.08205473870038982,0.0026924589517977335
valid-sim,0.0,0.029478638991713463,0.0007507265524426504,0.06652285307645792,0.0022492001776478615
valid-sim,0.05,0.029994735866785,0.0007330492623117691,0.06717001646757122,0.00251766320122248
valid-sim,0.1,0.030353775620460478,0.0007273596269527017,0.06752056032419201,0.002647869051836379
valid-sim,0.2,0.03103877715766426,0.0008723494436399479,0.06886881291866301,0.0029001572340360895
valid-sim,0.4,0.03237901665270324,0.0009585829154261788,0.07118781358003612,0.0027696692317200496
