masked-forward faithfulness: ml1m seed=42, 1000 users, fractions=[0.1, 0.2, 0.3]
unmasked reference: NDCG@20=0.04759 HR@20=0.12300
  loo-marginal | deletion | frac=0.1: NDCG@20=0.00774 (81s)
  loo-marginal | insertion | frac=0.1: NDCG@20=0.00776 (81s)
  loo-marginal | deletion | frac=0.2: NDCG@20=0.00774 (100s)
  loo-marginal | insertion | frac=0.2: NDCG@20=0.00776 (92s)
  loo-marginal | deletion | frac=0.3: NDCG@20=0.00745 (87s)
  loo-marginal | insertion | frac=0.3: NDCG@20=0.00775 (109s)
  shapley-mc | deletion | frac=0.1: NDCG@20=0.00775 (111s)
  shapley-mc | insertion | frac=0.1: NDCG@20=0.00775 (112s)
  shapley-mc | deletion | frac=0.2: NDCG@20=0.00768 (114s)
  shapley-mc | insertion | frac=0.2: NDCG@20=0.00776 (110s)
  shapley-mc | deletion | frac=0.3: NDCG@20=0.00769 (109s)
  shapley-mc | insertion | frac=0.3: NDCG@20=0.00776 (110s)
  uniform | deletion | frac=0.1: NDCG@20=0.00773 (110s)
  uniform | insertion | frac=0.1: NDCG@20=0.00775 (112s)
  uniform | deletion | frac=0.2: NDCG@20=0.00774 (110s)
  uniform | insertion | frac=0.2: NDCG@20=0.00750 (112s)
  uniform | deletion | frac=0.3: NDCG@20=0.00768 (112s)
  uniform | insertion | frac=0.3: NDCG@20=0.00766 (112s)
  random | deletion | frac=0.1: NDCG@20=0.00775 (111s)
  random | insertion | frac=0.1: NDCG@20=0.00766 (113s)
  random | deletion | frac=0.2: NDCG@20=0.00774 (111s)
  random | insertion | frac=0.2: NDCG@20=0.00766 (112s)
  random | deletion | frac=0.3: NDCG@20=0.00768 (111s)
  random | insertion | frac=0.3: NDCG@20=0.00744 (111s)
SAVED masked_forward_faithfulness.csv
masked-forward faithfulness: ml1m seed=42, 1000 users, fractions=[0.1, 0.2, 0.3]
unmasked reference: NDCG@20=0.04759 HR@20=0.12300
self-test passed: keep=full reproduces base scores (corr=1.00000000)
  loo-marginal | deletion | frac=0.1: NDCG@20=0.04632 (252s)
  loo-marginal | insertion | frac=0.1: NDCG@20=0.04894 (265s)
  loo-marginal | deletion | frac=0.2: NDCG@20=0.04603 (265s)
  loo-marginal | insertion | frac=0.2: NDCG@20=0.04800 (233s)
  loo-marginal | deletion | frac=0.3: NDCG@20=0.04666 (284s)
  loo-marginal | insertion | frac=0.3: NDCG@20=0.04742 (177s)
  shapley-mc | deletion | frac=0.1: NDCG@20=0.04740 (93s)
  shapley-mc | insertion | frac=0.1: NDCG@20=0.05176 (90s)
  shapley-mc | deletion | frac=0.2: NDCG@20=0.04668 (95s)
  shapley-mc | insertion | frac=0.2: NDCG@20=0.05029 (93s)
  shapley-mc | deletion | frac=0.3: NDCG@20=0.04567 (93s)
  shapley-mc | insertion | frac=0.3: NDCG@20=0.04875 (91s)
  uniform | deletion | frac=0.1: NDCG@20=0.04772 (89s)
  uniform | insertion | frac=0.1: NDCG@20=0.04681 (90s)
  uniform | deletion | frac=0.2: NDCG@20=0.04807 (90s)
  uniform | insertion | frac=0.2: NDCG@20=0.04829 (91s)
  uniform | deletion | frac=0.3: NDCG@20=0.04695 (89s)
  uniform | insertion | frac=0.3: NDCG@20=0.04780 (89s)
  random | deletion | frac=0.1: NDCG@20=0.04738 (92s)
  random | insertion | frac=0.1: NDCG@20=0.04876 (92s)
  random | deletion | frac=0.2: NDCG@20=0.04760 (87s)
  random | insertion | frac=0.2: NDCG@20=0.04908 (88s)
  random | deletion | frac=0.3: NDCG@20=0.04800 (92s)
  random | insertion | frac=0.3: NDCG@20=0.04708 (91s)
SAVED masked_forward_faithfulness.csv
