ablation,variant,family,intervention,NDCG@20,HitRate@20,Coverage@20,eval_seconds
k_sweep,k=8,loo-marginal,native,0.04941849038004875,0.12718205153942108,0.6361592806679512,3.6
k_sweep,k=8,shapley-mc,native,0.048666272312402725,0.1255195289850235,0.6265253692999357,3.6
k_sweep,k=16,loo-marginal,native,0.04976416379213333,0.1266832947731018,0.6380860629415542,3.4
k_sweep,k=16,shapley-mc,native,0.049092091619968414,0.12618453800678253,0.6297366730892743,3.7
k_sweep,k=24,loo-marginal,native,0.04912138730287552,0.12585203349590302,0.6390494540783558,3.5
k_sweep,k=24,shapley-mc,native,0.04891804978251457,0.1255195289850235,0.6294155427103404,3.6
k_sweep,k=32,loo-marginal,native,0.04947943985462189,0.12651704251766205,0.6377649325626205,3.5
k_sweep,k=32,shapley-mc,native,0.049001771956682205,0.12601828575134277,0.6294155427103404,3.5
player_selection,stratified,shapley-mc,native,0.04891804978251457,0.1255195289850235,0.6294155427103404,3.3
player_selection,similarity,shapley-mc,native,0.048395100980997086,0.12485452741384506,0.6220295439948619,3.4
player_selection,random,shapley-mc,native,0.04901808872818947,0.12585203349590302,0.6242774566473989,3.6
utility,pairwise_logsigmoid,shapley-mc,native,0.04891804978251457,0.1255195289850235,0.6294155427103404,3.8
utility,pairwise_logsigmoid,loo-marginal,native,0.04912138730287552,0.12585203349590302,0.6390494540783558,3.5
utility,ndcg_ild,shapley-mc,native,0.046098578721284866,0.11820448935031891,0.6271676300578035,3.3
utility,ndcg_ild,loo-marginal,native,0.045222364366054535,0.11637572944164276,0.6252408477842004,3.5
intervention,native,loo-marginal,native,0.04912138730287552,0.12585203349590302,0.6390494540783558,3.7
intervention,kernel,loo-marginal,kernel,0.052348800003528595,0.1331670880317688,0.6673089274245344,7.5
intervention,native,shapley-mc,native,0.04891804978251457,0.1255195289850235,0.6294155427103404,3.7
intervention,kernel,shapley-mc,kernel,0.050372421741485596,0.129177063703537,0.6441875401412974,7.8
