M,est_seed,attribution_seconds,efficiency_residual_mean,efficiency_residual_p95,n_residual_users,spearman_vs_M256_mean,l1_vs_M256_mean,l2_vs_M256_mean
16,42,296.3,3.6336219462448966e-11,0.0,167,0.8068476189078883,0.03294997162028196,0.00936401183512728
16,1042,279.9,2.1261480932464142e-11,0.0,167,0.8184181804206957,0.03244167990937613,0.009007567087092867
32,42,484.1,1.2626182734073993e-10,9.313225746154785e-10,167,0.8747869552434747,0.023262881033511956,0.006588308151530206
32,1042,502.6,1.0003352504290506e-10,4.656612873077393e-10,167,0.877112553710742,0.023108106576723013,0.006458443750683993
64,42,900.4,2.9757359583756165e-10,9.313225746154785e-10,167,0.9133261850213997,0.016937834176525154,0.004730589511446864
64,1042,897.8,3.1404252983852776e-10,9.313225746154785e-10,167,0.9143587146628761,0.016361394243018683,0.0045466631971357325
128,42,2337.3,3.596588629046957e-10,1.0128132998943316e-09,167,0.9405024555016915,0.011446193594897767,0.0031812251884921587
128,1042,1893.4,3.912461040441148e-10,1.1641532182693481e-09,167,0.9444196544411922,0.011541404946769317,0.003208800411937969
256,42,17150.5,4.3400869325561796e-10,1.6298145055770874e-09,167,0.9617948742496761,0.0077988175410659,0.0021506258243081176
256,1042,6716.4,4.0623370535716327e-10,1.4784745872020708e-09,167,0.9652206777669736,0.0077988175410659,0.0021506258243081176
