family,fraction,NDCG20,HitRate20,mode,seconds
unmasked-reference,0.0,0.04758534952998161,0.12300000339746475,,
loo-marginal,0.1,0.046318959444761276,0.11900000274181366,deletion,252.1
loo-marginal,0.1,0.04893843084573746,0.125,insertion,265.0
loo-marginal,0.2,0.04603065550327301,0.11699999868869781,deletion,264.5
loo-marginal,0.2,0.04799683392047882,0.125,insertion,232.8
loo-marginal,0.3,0.04665778577327728,0.11800000071525574,deletion,283.8
loo-marginal,0.3,0.047424737364053726,0.12200000137090683,insertion,176.7
shapley-mc,0.1,0.04740097001194954,0.12200000137090683,deletion,92.9
shapley-mc,0.1,0.05176472291350365,0.1340000033378601,insertion,90.3
shapley-mc,0.2,0.046681612730026245,0.11900000274181366,deletion,94.6
shapley-mc,0.2,0.050290919840335846,0.12999999523162842,insertion,93.3
shapley-mc,0.3,0.045667827129364014,0.11599999666213989,deletion,92.7
shapley-mc,0.3,0.04874773323535919,0.12600000202655792,insertion,91.2
uniform,0.1,0.047724705189466476,0.12200000137090683,deletion,88.8
uniform,0.1,0.046806756407022476,0.12200000137090683,insertion,90.1
uniform,0.2,0.04807421937584877,0.125,deletion,89.6
uniform,0.2,0.04829474166035652,0.12300000339746475,insertion,90.7
uniform,0.3,0.046947553753852844,0.12300000339746475,deletion,89.5
uniform,0.3,0.04779863730072975,0.11999999731779099,insertion,89.4
random,0.1,0.04737747833132744,0.12300000339746475,deletion,91.7
random,0.1,0.04875999316573143,0.12800000607967377,insertion,91.8
random,0.2,0.047598402947187424,0.12200000137090683,deletion,87.3
random,0.2,0.04907887801527977,0.125,insertion,87.6
random,0.3,0.04799557849764824,0.12300000339746475,deletion,92.4
random,0.3,0.04707805812358856,0.12099999934434891,insertion,90.7
