contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,42,0.0033715186051537826,0.0,0.05768911055694098,0.02892768079800499,0.9133832086450541,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,43,0.0034939784405652536,0.0,0.062177888611803823,0.027597672485453036,0.9102244389027432,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,44,0.003479235255195345,0.0,0.060681629260182876,0.028761429758935992,0.9105569409808811,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,45,0.0029936634081463008,0.0,0.059351620947630926,0.029925187032418952,0.9107231920199501,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,46,0.0027435423724023276,0.0,0.060681629260182876,0.030756442227763924,0.9085619285120532,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,42,0.00914380714879468,0.0,0.01662510390689942,0.007481296758104738,0.9758935993349959,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,43,0.0071487946799667496,0.0,0.014131338320864505,0.006982543640897756,0.9788861180382378,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,44,0.008977556109725686,0.0,0.01512884455527847,0.006151288445552784,0.9787198669991688,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,45,0.009310058187863674,0.0,0.014630091438071488,0.005320033250207814,0.9800498753117207,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,46,0.006317539484621779,0.0,0.015295095594347465,0.008977556109725686,0.9757273482959269,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,42,0.0031729263640897756,0.0,0.05802161263507897,0.029093931837073983,0.912884455527847,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,43,0.0032873879467996674,0.0,0.060681629260182876,0.028096425602660017,0.9112219451371572,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,44,0.0032003463408146306,0.0,0.059517871986699916,0.02942643391521197,0.9110556940980881,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,45,0.0031587197140482133,0.0,0.058187863674147966,0.03025768911055694,0.9115544472152951,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,46,0.002783672545303408,0.0,0.06084788029925187,0.02942643391521197,0.9097256857855361,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,42,0.00881130507065669,0.0,0.01629260182876143,0.007481296758104738,0.9762261014131338,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,43,0.0071487946799667496,0.0,0.013632585203657522,0.006483790523690773,0.9798836242726517,6015
