contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_reject_0.05,holm_threshold
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,0.003748484469492934,0.0031058885586118037,0.004386370717905237,0.0,0.07012468827930174,0.03680798004987531,0.893067331670823,0.066071691010805,0.0,< 0.0005,5,30075,True,0.005
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,0.007813798836242726,0.005852036575228595,0.009808811305070657,0.0,0.01888611803823774,0.011072319201995013,0.9700415627597673,0.0451895927269342,0.0,< 0.0005,5,30075,True,0.005555555555555556
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,0.0036527074354114715,0.002996150574322527,0.004313194775669159,0.0,0.07045719035743973,0.037107231920199504,0.8924355777223608,0.0634600838276923,0.0,< 0.0005,5,30075,True,0.00625
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,0.007680798004987531,0.0056192851205320036,0.009642560266001663,0.0,0.019052369077306733,0.011371571072319201,0.9695760598503741,0.04407708556226902,0.0,< 0.0005,5,30075,True,0.0071428571428571435
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,0.0032724503125519536,0.0025923167551205315,0.003934380508819618,0.0,0.07039068994181213,0.038669991687448044,0.8909393183707398,0.05454151189825533,0.0,< 0.0005,5,30075,True,0.008333333333333333
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,0.007182044887780549,0.0051529509559434744,0.009277639235245216,0.0,0.019684123025768913,0.012502078137988362,0.9678137988362427,0.04006400068309161,0.0,< 0.0005,5,30075,True,0.01
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,0.0036320089825436406,0.0029840323699002495,0.00428107634303408,0.0,0.06969243557772237,0.037040731504571905,0.8932668329177057,0.06307215764612702,0.0,< 0.0005,5,30075,True,0.0125
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,0.007647547797173732,0.005652535328345802,0.009609310058187864,0.0,0.019019118869492934,0.011371571072319201,0.9696093100581878,0.04390995467051138,0.0,< 0.0005,5,30075,True,0.016666666666666666
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,0.0005320968532003325,0.00011910710797173715,0.0009634897822028259,0.0,0.04967581047381546,0.03188694929343308,0.9184372402327514,0.01429651706931052,0.008,0.008,5,30075,True,0.025
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,-0.0003657522859517872,-0.0016957605985037402,0.000898586866167909,0.0,0.006450540315876974,0.006816292601828761,0.9867331670822943,-0.0031753996208450405,0.575,0.575,5,30075,False,0.05
