contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,42,0.004798455147132169,0.0,0.0713216957605985,0.035910224438902745,0.8927680798004988,6015
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,43,0.003702808636741479,0.0,0.07265170407315046,0.03674147963424772,0.8906068162926019,6015
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,44,0.0036668341280133,0.0,0.0714879467996675,0.03541147132169576,0.8931005818786367,6015
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,45,0.0031719027248545304,0.0,0.06683291770573566,0.03923524522028263,0.8939318370739817,6015
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,46,0.0034024217107231918,0.0,0.06832917705735661,0.03674147963424772,0.8949293433083957,6015
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,42,0.011803823773898587,0.0,0.021945137157107233,0.010141313383208644,0.9679135494596841,6015
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,43,0.006317539484621779,0.0,0.017290108063175394,0.010972568578553617,0.971737323358271,6015
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,44,0.006483790523690773,0.0,0.018453865336658354,0.011970074812967581,0.9695760598503741,6015
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,45,0.008146300914380716,0.0,0.018952618453865335,0.010806317539484621,0.97024106400665,6015
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,46,0.006317539484621779,0.0,0.01778886118038238,0.011471321695760598,0.970739817123857,6015
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,42,0.004599862906068163,0.0,0.07115544472152951,0.03657522859517872,0.8922693266832917,6015
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,43,0.0034962181429758934,0.0,0.07198669991687448,0.03657522859517872,0.8914380714879468,6015
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,44,0.0033879452136325854,0.0,0.07065669160432253,0.035910224438902745,0.8934330839567747,6015
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,45,0.003336959030756442,0.0,0.06816292601828762,0.0399002493765586,0.8919368246051538,6015
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,46,0.0034425518836242726,0.0,0.07032418952618454,0.03657522859517872,0.8931005818786367,6015
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,42,0.011471321695760598,0.0,0.021612635078969242,0.010141313383208644,0.9682460515378221,6015
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,43,0.006317539484621779,0.0,0.017290108063175394,0.010972568578553617,0.971737323358271,6015
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,44,0.005652535328345802,0.0,0.018620116375727348,0.012967581047381545,0.9684123025768911,6015
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,45,0.008645054031587697,0.0,0.0199501246882793,0.011305070656691604,0.9687448046550291,6015
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,46,0.006317539484621779,0.0,0.01778886118038238,0.011471321695760598,0.970739817123857,6015
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,42,0.004201575200332502,0.0,0.07231920199501247,0.03773898586866168,0.8899418121363258,6015
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,43,0.0025729201895261845,0.0,0.07182044887780549,0.0400665004156276,0.8881130507065669,6015
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,44,0.0033777053599335,0.0,0.06999168744804656,0.037073981712385705,0.8929343308395677,6015
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,45,0.0032606095494596837,0.0,0.06749792186201163,0.04023275145469659,0.8922693266832917,6015
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,46,0.0029494412635078966,0.0,0.07032418952618454,0.038237738985868665,0.8914380714879468,6015
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,42,0.010473815461346634,0.0,0.021612635078969242,0.01113881961762261,0.9672485453034081,6015
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,43,0.004655029093931837,0.0,0.017456359102244388,0.012801330008312552,0.9697423108894431,6015
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,44,0.005320033250207814,0.0,0.01945137157107232,0.014131338320864505,0.9664172901080632,6015
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,45,0.009310058187863674,0.0,0.021280133000831255,0.011970074812967581,0.9667497921862012,6015
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,46,0.006151288445552784,0.0,0.018620116375727348,0.012468827930174564,0.9689110556940981,6015
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,42,0.004658001187032419,0.0,0.07098919368246051,0.03624272651704073,0.8927680798004988,6015
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,43,0.0031742386583541145,0.0,0.07082294264339152,0.037073981712385705,0.8921030756442228,6015
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,44,0.003523213301745636,0.0,0.07015793848711555,0.03574397339983375,0.8940980881130507,6015
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,45,0.003340563911886949,0.0,0.06783042394014963,0.039567747298420615,0.8926018287614298,6015
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,46,0.0034640278536990855,0.0,0.06866167913549459,0.03657522859517872,0.8947630922693267,6015
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,42,0.011637572734829594,0.0,0.021778886118038236,0.010141313383208644,0.9680798004987531,6015
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,43,0.005652535328345802,0.0,0.017290108063175394,0.011637572734829594,0.971072319201995,6015
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,44,0.005818786367414797,0.0,0.018453865336658354,0.012635078969243558,0.9689110556940981,6015
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,45,0.008478802992518703,0.0,0.019783873649210307,0.011305070656691604,0.9689110556940981,6015
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,46,0.006650041562759767,0.0,0.01778886118038238,0.01113881961762261,0.971072319201995,6015
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,42,0.0014269365419783873,0.0,0.05320033250207814,0.03025768911055694,0.916541978387365,6015
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,43,0.000208830196176226,0.0,0.0485453034081463,0.03275145469659185,0.9187032418952619,6015
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,44,0.00018759887281795515,0.0,0.051371571072319204,0.03158769742310889,0.9170407315045719,6015
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,45,0.00017823931670822934,0.0,0.046550290939318374,0.03258520365752286,0.9208645054031588,6015
loo-marginal_vs_shapley-mc_NDCG@20,NDCG@20,loo-marginal,shapley-mc,46,0.0006588793383208645,0.0,0.0487115544472153,0.03225270157938487,0.9190357439733998,6015
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,42,0.002660016625103907,0.0,0.007813798836242726,0.00515378221113882,0.9870324189526185,6015
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,43,-0.0008312551953449709,0.0,0.006317539484621779,0.0071487946799667496,0.9865336658354115,6015
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,44,-0.0024937655860349127,0.0,0.006151288445552784,0.008645054031587697,0.9852036575228595,6015
loo-marginal_vs_shapley-mc_HitRate@20,HitRate@20,loo-marginal,shapley-mc,45,-0.0011637572734829592,0.0,0.006317539484621779,0.007481296758104738,0.9862011637572735,6015
