contrast,metric,treatment,control,mean_diff_conditional_user,ci95_low,ci95_high,median_user_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,cohen_dz_user_conditional_descriptive,bootstrap_p_descriptive,bootstrap_p_report,n_seeds,n_user_diffs,holm_threshold,holm_reject_0.05
loo-marginal_vs_uniform_NDCG@20,NDCG@20,loo-marginal,uniform,0.003677820711221945,0.0030256709125270156,0.004287567532826267,0.0,0.06942643391521197,0.03760598503740648,0.8929675810473815,0.06400228944872334,0.0,< 0.0005,5,30075,0.004166666666666667,True
loo-marginal_vs_uniform_HitRate@20,HitRate@20,loo-marginal,uniform,0.007813798836242728,0.005818786367414796,0.009676641729010803,0.0,0.01915211970074813,0.011338320864505404,0.9695095594347465,0.04479282130458831,0.0,< 0.0005,5,30075,0.004545454545454546,True
loo-marginal_vs_additive-pref_NDCG@20,NDCG@20,loo-marginal,additive-pref,0.0035613350038237743,0.002903018835976725,0.004235422057813799,0.0,0.06942643391521197,0.038137988362427266,0.8924355777223608,0.06132432758004657,0.0,< 0.0005,5,30075,0.005,True
loo-marginal_vs_additive-pref_HitRate@20,HitRate@20,loo-marginal,additive-pref,0.007581047381546134,0.005618453865336658,0.00947630922693267,0.0,0.01935162094763092,0.011770573566084788,0.9688778054862843,0.0430118629491883,0.0,< 0.0005,5,30075,0.005555555555555556,True
loo-marginal_vs_attention_NDCG@20,NDCG@20,loo-marginal,attention,0.0031162040960931005,0.0024252034123773904,0.0037932610169243556,0.0,0.06935993349958437,0.039301745635910226,0.8913383208645054,0.05071955286033233,0.0,< 0.0005,5,30075,0.00625,True
loo-marginal_vs_attention_HitRate@20,HitRate@20,loo-marginal,attention,0.006650041562759767,0.004588528678304239,0.008678304239401495,0.0,0.020116375727348295,0.013466334164588529,0.9664172901080632,0.03631160178703914,0.0,< 0.0005,5,30075,0.0071428571428571435,True
loo-marginal_vs_heuristic-pop_NDCG@20,NDCG@20,loo-marginal,heuristic-pop,0.0034380042347464676,0.0027685710330257692,0.004108531655211969,0.0,0.06919368246051538,0.038171238570241066,0.8926350789692435,0.05896314707081943,0.0,< 0.0005,5,30075,0.008333333333333333,True
loo-marginal_vs_heuristic-pop_HitRate@20,HitRate@20,loo-marginal,heuristic-pop,0.007315045719035744,0.005319201995012469,0.009210307564422277,0.0,0.019185369908561928,0.011870324189526184,0.9689443059019119,0.04154451356838052,0.0,< 0.0005,5,30075,0.01,True
loo-marginal_vs_valid-sim_NDCG@20,NDCG@20,loo-marginal,valid-sim,0.0019033979245220282,0.0013354196584954281,0.0024341420839900235,0.0,0.062078137988362425,0.037040731504571905,0.9008811305070656,0.0394141151568325,0.0,< 0.0005,5,30075,0.0125,True
loo-marginal_vs_valid-sim_HitRate@20,HitRate@20,loo-marginal,valid-sim,0.0033250207813798833,0.0015951787198669992,0.004987531172069825,0.0,0.012967581047381545,0.009642560266001663,0.9773898586866168,0.022117788996297183,0.0,< 0.0005,5,30075,0.016666666666666666,True
loo-marginal_vs_valid-linear_NDCG@20,NDCG@20,loo-marginal,valid-linear,0.0012625910523690771,0.0007830602143059017,0.0017479149699418117,0.0,0.05466334164588529,0.037339983374896094,0.9079966749792187,0.030329008712229513,0.0,< 0.0005,5,30075,0.025,True
loo-marginal_vs_valid-linear_HitRate@20,HitRate@20,loo-marginal,valid-linear,0.002061512884455528,0.0005320033250207814,0.003525353283458017,0.0,0.009576059850374064,0.007514546965918537,0.9829093931837074,0.015770813476583125,0.004,0.004,5,30075,0.05,True
