seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
44,loo-marginal,0.05,0.0041562761180102825,0.0035847981926053762,0.06866168230772018,0.023291772231459618
44,loo-marginal,0.1,0.009143806993961334,0.0061354367062449455,0.07098919153213501,0.024334508925676346
44,loo-marginal,0.2,0.017622610554099083,0.010285197757184505,0.07431421428918839,0.026080194860696793
44,loo-marginal,0.3,0.022776393219828606,0.012840173207223415,0.0783042386174202,0.028113875538110733
44,uniform,0.05,0.004987531341612339,0.0026810853742063046,0.06849543005228043,0.02279018796980381
44,uniform,0.1,0.008146300911903381,0.004764363169670105,0.07049044221639633,0.023470696061849594
44,uniform,0.2,0.017123857513070107,0.008817674592137337,0.07448046654462814,0.02506297081708908
44,uniform,0.3,0.02244389057159424,0.011446509510278702,0.077472984790802,0.026344595476984978
44,random,0.05,0.0034912717528641224,0.002598397433757782,0.06849543005228043,0.022967055439949036
44,random,0.1,0.007813799194991589,0.0046830130741000175,0.07082293927669525,0.023749670013785362
44,random,0.2,0.015627598389983177,0.008496232330799103,0.07364921271800995,0.024994703009724617
44,random,0.3,0.02078137919306755,0.01120708603411913,0.07714048027992249,0.026536213234066963
