,,NDCG@20,NDCG@20,HitRate@20,HitRate@20,ValNDCG@20,ValNDCG@20
,,mean,std,mean,std,mean,std
family,lambda_attr,,,,,,
additive-pref,0.0,0.0446694135665893,0.0002965860754919927,0.11358270943164821,0.001565763849624693,0.0518826179206371,0.0006413463753933348
additive-pref,0.05,0.04565292447805402,0.00014285673344920495,0.11634247750043862,0.0013978943463144981,0.052547413110733,0.0007317384870326336
additive-pref,0.1,0.04599735289812086,0.00031959070169642104,0.11704072952270501,0.0012160222640763812,0.05324211865663524,0.000752657614211342
additive-pref,0.2,0.04699276164174074,0.0004897627703839818,0.11990025043487547,0.0010606237679473426,0.05436727777123446,0.0008475552514468353
additive-pref,0.4,0.048224890232086134,0.0007005071303135492,0.12335827052593229,0.0016954329254859804,0.05565345734357828,0.0007693239891515655
loo-marginal,0.0,0.0446694135665893,0.0002965860754919927,0.11358270943164821,0.001565763849624693,0.0518826179206371,0.0006413463753933348
loo-marginal,0.05,0.047229746729135436,0.00026235889798827025,0.11943474709987638,0.0009521419685879319,0.0634865880012512,0.0006881490747483825
loo-marginal,0.1,0.04959141910076138,0.0004823572664013978,0.12472152560949323,0.0011661280452513177,0.07644305378198621,0.0008299394064242165
loo-marginal,0.2,0.0543151311576366,0.0006417362503658889,0.1367913573980331,0.0011421802013613877,0.10683124661445609,0.0008758155423743466
loo-marginal,0.4,0.0621098421514034,0.0003954611724894286,0.15644222497940058,0.0010448691468096852,0.16973172724246974,0.0006379550571069812
uniform,0.0,0.0446694135665893,0.0002965860754919927,0.11358270943164821,0.001565763849624693,0.0518826179206371,0.0006413463753933348
uniform,0.05,0.045454569905996264,0.0002359747291113373,0.11577722430229184,0.0014897774350293167,0.05245277211070056,0.0006264190771944891
uniform,0.1,0.04583241567015644,0.00027485927391175663,0.11664173007011407,0.0011965445555669643,0.05298901647329324,0.000660664645412387
uniform,0.2,0.04663150385022158,0.00036599735558090794,0.11920199394226072,0.0010709991644035676,0.05391206368803973,0.0007892290470648217
uniform,0.4,0.04776646494865414,0.00048607361888426556,0.12199501246213909,0.0017333246354370182,0.055331582576036396,0.0009573099006810949
