,,DeletionDelta_HitRate@20,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_HitRate@20,Insertion_NDCG@20,Insertion_NDCG@20
,,mean,std,mean,std,mean,std,mean,std
family,fraction,,,,,,,,
loo-marginal,0.05,0.00561928516253824,0.001117721434608116,0.0036543775349855,0.00019569529189887754,0.06839567720890039,0.0006286858115098179,0.023526469618082,0.0001801069638798844
loo-marginal,0.1,0.00977556128054854,0.0005806899241721329,0.0060478164814411995,0.00020360641001604884,0.07035744041204448,0.0009286275583085548,0.024526930227875658,0.00019712563173402155
loo-marginal,0.2,0.016492103040218302,0.000979330141273927,0.00972262099385256,0.0003471723698535168,0.07361595928668971,0.0009863594919689214,0.026314485818147597,0.0002434629033443127
loo-marginal,0.3,0.021845386549830398,0.0013739619962724113,0.01228835973888632,0.00034254373220403287,0.07813798785209651,0.0005257328482315065,0.0283241897821426,0.00014251073066927792
random,0.05,0.0038237738888710396,0.00048470095805334853,0.0028282474726438003,0.0001877994458088985,0.06832917928695674,0.0007527329307036419,0.023299870267510382,0.0002744215730146968
random,0.1,0.00847880300134414,0.000610845355828261,0.00502536194398996,0.00035504720719525915,0.06979218423366543,0.000800770793098829,0.02388890758156772,0.0002324314368080111
random,0.2,0.01463009174913164,0.0009105944740217255,0.00820584315806624,0.00034439339410540084,0.07305070757865902,0.0007850870957355633,0.025181246548891017,0.0002682316925404974
random,0.3,0.01998337469995016,0.0010002731822509176,0.01093588098883624,0.00019373133564128746,0.07647547721862788,0.0008395246225227845,0.02667197175323958,7.906718678547188e-05
uniform,0.05,0.00455527850426728,0.0005947978398945573,0.00273296590894458,0.00014479526608515713,0.06806317567825312,0.0009736685549367582,0.02314577288925642,0.0002707551550705432
uniform,0.1,0.0088445551693439,0.0005806898708447904,0.005132256634533381,0.0002951349096356799,0.06969243586063383,0.0012683121283496804,0.0237745758146047,0.000296187361892338
uniform,0.2,0.01589359976351256,0.0007111970391548435,0.0085366360843181,0.00018407314165020652,0.07358271032571788,0.0011189591727795625,0.02526011951267714,0.00024593030203997495
uniform,0.3,0.02141313366591924,0.0011052884904383217,0.01108141727745528,0.00029407637613402176,0.07733998447656629,0.0005924709090655202,0.026710884273052182,0.00028048901150817113
