,,NDCG@20,NDCG@20,HitRate@20,HitRate@20
,,mean,std,mean,std
family,lambda_attr,,,,
additive-pref,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
additive-pref,0.05,0.045547604560852016,0.00021487258649063943,0.11571072340011594,0.0009835534213476164
additive-pref,0.1,0.046122808009386,0.00020086141735676922,0.11763923466205592,0.0008525917537562208
additive-pref,0.2,0.047021581232547696,0.00034999971184057334,0.1202327504754066,0.0017491968389386026
additive-pref,0.4,0.04838706627488134,0.0004180439387096687,0.12382377386093132,0.0012791627438959333
attention,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
attention,0.05,0.04573657587170596,0.00027058899822502444,0.11660847961902616,0.0008686519596545483
attention,0.1,0.046567942202091164,0.00023851218096042112,0.1185702413320541,0.0008590530203737331
attention,0.2,0.04754562005400652,0.00021369230426538044,0.12123025655746456,0.0010606242350945662
attention,0.4,0.04920533001422876,0.0003952936048782999,0.12538653314113615,0.0010408969818206705
heuristic-pop,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
heuristic-pop,0.05,0.04553406238555904,0.0001737586766430998,0.11574397385120387,0.0011300179232527456
heuristic-pop,0.1,0.04624613896012298,0.0002429818120344991,0.11790523678064344,0.0008262525848692957
heuristic-pop,0.2,0.04701737910509104,0.00026952753806981183,0.12033250033855432,0.00121260791489593
heuristic-pop,0.4,0.04845338165760036,0.00033284969716465947,0.12402327656745907,0.0013506293906482116
loo-marginal,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
loo-marginal,0.05,0.04751076027750964,0.0001474229006881365,0.11990024894475933,0.001377978687273731
loo-marginal,0.1,0.0496841453015804,0.0003814914777305269,0.12522028088569637,0.0004903668824816408
loo-marginal,0.2,0.054484008997678725,0.0003973070580462811,0.1367581039667129,0.0018120622463891477
loo-marginal,0.4,0.062461023032665194,0.0005575670787481908,0.15697422921657558,0.0011601914710251623
shapley-mc,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
shapley-mc,0.05,0.04697310552000996,0.0003160823349995686,0.11953449845314021,0.0013351938097306143
shapley-mc,0.1,0.0490881778299808,0.00030341546538635453,0.12528678178787228,0.0009075544143055205
shapley-mc,0.2,0.0527559012174606,0.00035458752307124605,0.135295096039772,0.0012628482551481184
shapley-mc,0.4,0.05945661291480062,0.0006250654399130168,0.1546467125415802,0.0020811314401888554
uniform,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
uniform,0.05,0.045402863621711684,0.00019835877139524712,0.11544472128152843,0.0010939773367594297
uniform,0.1,0.046006324887275664,0.0002224604719366779,0.1174064844846725,0.0009060271584962837
uniform,0.2,0.0468578159809112,0.00022068497834228242,0.11996674984693523,0.001042220916372083
uniform,0.4,0.04782550483942028,0.0002766204512671481,0.1225270181894302,0.0012984625616511887
valid-linear,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
valid-linear,0.05,0.04673397988080974,0.00015703952302036466,0.11853699088096617,0.0010774311475460065
valid-linear,0.1,0.0484215527772903,0.00019441319880865392,0.12315877228975292,0.0008670590399129218
valid-linear,0.2,0.05155352801084514,0.0004451025572485853,0.13097257316112515,0.0014320769374759831
valid-linear,0.4,0.057062201946973756,0.0009245981028520187,0.1467996686697006,0.0025942662799277516
valid-sim,0.0,0.04493342116475098,0.00018418414629304874,0.11358270943164821,0.0018112982956748945
valid-sim,0.05,0.046304732561111416,0.00032861251173787743,0.11787198632955549,0.0007434968581535268
valid-sim,0.1,0.047780746221542304,0.00012967168454806468,0.12189526259899135,0.0008590534529461812
valid-sim,0.2,0.05010200515389438,0.00032778455186222396,0.12857855260372159,0.0008844191755758977
valid-sim,0.4,0.054563500732183426,0.00035523595900553684,0.1418121367692947,0.001395917962556976
