contrast,metric,treatment,control,seed,mean_diff,median_diff,prop_users_improved,prop_users_harmed,prop_users_unchanged,n_users
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,42,0.005964497817123858,0.0,0.0656691604322527,0.03192019950124688,0.9024106400665004,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,43,0.005603303007481297,0.0,0.06783042394014963,0.02892768079800499,0.9032418952618454,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,44,0.005468181346633416,0.0,0.06716541978387365,0.028761429758935992,0.9040731504571904,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,45,0.006372168904405653,0.0,0.06899418121363259,0.030922693266832918,0.9000831255195345,6015
shapley-mc_vs_uniform_NDCG@20,NDCG@20,shapley-mc,uniform,46,0.004795360242726517,0.0,0.06600166251039069,0.031088944305901912,0.9029093931837074,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,42,0.013133832086450541,0.0,0.020116375727348295,0.006982543640897756,0.972901080631754,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,43,0.015461346633416459,0.0,0.02111388196176226,0.005652535328345802,0.9732335827098919,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,44,0.012967581047381545,0.0,0.019783873649210307,0.006816292601828761,0.9733998337489609,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,45,0.014630091438071488,0.0,0.020947630922693267,0.006317539484621779,0.972734829592685,6015
shapley-mc_vs_uniform_HitRate@20,HitRate@20,shapley-mc,uniform,46,0.012967581047381545,0.0,0.018453865336658354,0.005486284289276808,0.9760598503740648,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,42,0.005487038440565253,0.0,0.0628428927680798,0.03391521197007481,0.9032418952618454,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,43,0.005255661243557772,0.0,0.06666666666666667,0.029758935993349958,0.9035743973399833,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,44,0.005033567022443891,0.0,0.0655029093931837,0.028761429758935992,0.9057356608478803,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,45,0.005867182425602659,0.0,0.06716541978387365,0.03158769742310889,0.9012468827930175,6015
shapley-mc_vs_additive-pref_NDCG@20,NDCG@20,shapley-mc,additive-pref,46,0.004142612665004156,0.0,0.06500415627597672,0.034912718204488775,0.9000831255195345,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,42,0.011637572734829594,0.0,0.018620116375727348,0.006982543640897756,0.9743973399833749,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,43,0.014297589359933499,0.0,0.020448877805486283,0.006151288445552784,0.9733998337489609,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,44,0.012302576891105569,0.0,0.019617622610141314,0.007315045719035744,0.9730673316708229,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,45,0.013965087281795512,0.0,0.02061512884455528,0.006650041562759767,0.972734829592685,6015
shapley-mc_vs_additive-pref_HitRate@20,HitRate@20,shapley-mc,additive-pref,46,0.011471321695760598,0.0,0.018453865336658354,0.006982543640897756,0.9745635910224439,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,42,0.004750155857024106,0.0,0.0630091438071488,0.03541147132169576,0.9015793848711554,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,43,0.004092724463840399,0.0,0.06400665004156277,0.03524522028262676,0.9007481296758105,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,44,0.0036422310407315042,0.0,0.06350789692435578,0.03657522859517872,0.8999168744804655,6015
shapley-mc_vs_attention_NDCG@20,NDCG@20,shapley-mc,attention,45,0.004624108871155445,0.0,0.06433915211970075,0.03507896924355777,0.9005818786367414,6015
