seed,family,fraction,DeletionDelta_HitRate@20,DeletionDelta_NDCG@20,Insertion_HitRate@20,Insertion_NDCG@20
45,loo-marginal,0.05,0.005652535241097212,0.0035291574895381927,0.06467165052890778,0.021313190460205078
45,loo-marginal,0.1,0.008146300911903381,0.005617605522274971,0.06600166112184525,0.02215832844376564
45,loo-marginal,0.2,0.015461347065865993,0.008903942070901394,0.06882792711257935,0.02354968711733818
45,loo-marginal,0.3,0.021612634882330894,0.01127125509083271,0.0718204453587532,0.025000834837555885
45,uniform,0.05,0.003990024793893099,0.00253585004247725,0.06317539513111115,0.02072209306061268
45,uniform,0.1,0.008312552236020565,0.0047938041388988495,0.06483790278434753,0.02132260985672474
45,uniform,0.2,0.016458852216601372,0.008220630697906017,0.06766417622566223,0.022442763671278954
45,uniform,0.3,0.02227763831615448,0.010442538186907768,0.07165420055389404,0.023832477629184723
45,random,0.05,0.004322526976466179,0.002901656087487936,0.06384039670228958,0.021008312702178955
45,random,0.1,0.008146300911903381,0.004887257236987352,0.06583540886640549,0.021651599556207657
45,random,0.2,0.015128844417631626,0.00794773455709219,0.06683291494846344,0.022218849509954453
45,random,0.3,0.021113881841301918,0.010414275340735912,0.07015793770551682,0.023469306528568268
