,,,HitRate@5,HitRate@5,NDCG@5,NDCG@5,HitRate@10,HitRate@10,NDCG@10,NDCG@10,HitRate@20,HitRate@20,NDCG@20,NDCG@20,Coverage@20,Coverage@20,ILD@20,ILD@20
,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
dataset,backbone,family,,,,,,,,,,,,,,,,
ml1m,ngcf,additive-pref,0.03704073205590244,0.0013577733105231931,0.02360024303197858,0.0006525588460327198,0.06500415578484531,0.002096345886664422,0.03259944394230838,0.0009435349049993008,0.1125187039375305,0.0014560032610591988,0.04452675879001612,0.0007005300088687223,0.6655105973025048,0.012290528477557116,0.7420189499855041,0.002360213060179556
ml1m,ngcf,attention,0.0379384875297546,0.0016178540272057706,0.02416130416095252,0.0008441436645518852,0.06646716594696038,0.0019929336577127112,0.03330913558602328,0.001060710117147642,0.11328345835208889,0.0018535327680839553,0.0450416728854179,0.0008665252224870477,0.6662813102119461,0.011583863173431594,0.7395637035369873,0.0023316974823115334
ml1m,ngcf,heuristic-pop,0.03697423040866848,0.001236309704422946,0.023471381515264463,0.0006200835008001483,0.06497090682387348,0.00195442293324021,0.03247582912445064,0.0009121035455943696,0.11241895258426662,0.0011720389887725643,0.0443846352398395,0.0007393512604371128,0.6662170841361593,0.011967439639154394,0.7424240946769715,0.002362921118116322
ml1m,ngcf,loo-marginal,0.04259351566433902,0.0009863606849730589,0.02667871788144104,0.0006514392531836919,0.07238570153713222,0.001252965193256676,0.036204505711793844,0.0005003512058357262,0.12365752011537548,0.0023988598458407483,0.0490665555000305,0.0005728662639494176,0.7350674373795761,0.010768646523511345,0.7664668321609497,0.001302811060685044
ml1m,ngcf,shapley-mc,0.03943474590778346,0.0006374165471876634,0.02508589699864384,0.0005426179513731498,0.06926018297672268,0.0021599843084498735,0.0346524246037006,0.0008154049861376784,0.12093100696802135,0.0027307736822125817,0.047600156813859894,0.0007963725071134754,0.708092485549133,0.008413983626572842,0.7522853374481201,0.001852913686499542
ml1m,ngcf,uniform,0.036807980388402876,0.0011849394661116632,0.02338122650980946,0.0005954211575815701,0.0648711562156677,0.0017092367148998486,0.03240683972835534,0.0008474578847063323,0.11188694983720775,0.0012769985901101323,0.04421215727925296,0.0007360924896946103,0.6666024405908799,0.012325718555441139,0.7429620742797851,0.0023296066590076116
ml1m,ngcf,unreranked,0.03511221930384632,0.0008262528472178246,0.021870405972003883,0.0007719789925191538,0.06131338328123089,0.001578946955509236,0.03025382868945592,0.0007713943167187318,0.10583541244268416,0.0008686521735475323,0.04137518927454944,0.00047015772155609094,0.7161849710982658,0.010512790434411586,0.7624094843864441,0.001629048377064224
ml1m,ngcf,valid-linear,0.03853699117898936,0.000718927371235989,0.02415405511856076,0.00047709871832156224,0.06862842738628382,0.0024921021653210307,0.03376073911786076,0.0010980024781195097,0.11936824768781658,0.0015551357007018345,0.04644262492656706,0.0007346668539198589,0.7244701348747592,0.012160626993424241,0.7621185660362244,0.002009819609311987
ml1m,ngcf,valid-sim,0.03770573586225504,0.001488852159261851,0.02389462850987906,0.0006923992497288956,0.0658686608076095,0.0016600149212597092,0.0329297855496406,0.0006772442859646074,0.113715711236,0.001541747538004198,0.04492125287652012,0.000790958514061648,0.6665382145150931,0.0123491228976588,0.7434431195259095,0.0023555849966694397
